borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Barnet,http://lbc.ac.uk/library-resources/,Leo Baeck College Library,200033491,E09000003,The Sternberg Centre for Judaism ,80 East End Road,,Finchley Church End,E05000051,-0.18932636865181554,525294.1257487781,51.59527665319985,190150.81340399996,Barnet,Archives,E09000003,11/27/2022
Barnet,https://www.rafmuseum.org.uk/research/research-enquiries.aspx,"Royal Air Force Museum, Department of Research and Information Services",200049886,E09000003,Grahame Park Way,,,Colindale,E05000046,-0.23816390141069846,521902.52448684245,51.59894703133823,190476.25720387173,Barnet,Archives,E09000003,11/27/2022
Barnet,http://www.kingalfred.org.uk/,King Alfred School,200086130,E09000003,Manor Wood North End Road,,,Garden Suburb,E05000052,-0.1844589462330991,525701.8550698007,51.569670630519,187312.25769160182,Barnet,Archives,E09000003,11/27/2022
Barnet,http://www.barnetmuseum.co.uk/,Barnet Museum,200128241,E09000003,31 Wood Street,,,Underhill,E05000060,-0.20229626137235066,524238.4112779856,51.65287654051162,196532.6381528314,Barnet,Archives,E09000003,11/27/2022
Barnet,https://moda.mdx.ac.uk/,Middlesex University: Museum of Domestic Design & Architecture Collections Centre,200141126,E09000003,9 Boulevard Drive ,Beaufort Park,Colindale,Colindale,E05000046,-0.2416367863051352,521669.8176251497,51.596048835837145,190148.23324520694,Barnet,Archives,E09000003,11/27/2022
Barnet,https://unihub.mdx.ac.uk/study/library/library-services/library-opening-hours,Middlesex University: Sheppard Library,200153196,E09000003,The Burroughs,,,Hendon,E05000055,-0.22959233023945164,522518.9208250543,51.590455698696246,189546.54034692526,Barnet,Archives,E09000003,11/27/2022
Barnet,https://www.lsjs.ac.uk/about-our-library.php,Jews College Library,200219174,E09000003,44a Albert Road,,,Hendon,E05000055,-0.21373921104105997,523622.8728506446,51.58821377787244,189323.98609407258,Barnet,Archives,E09000003,11/27/2022
Barnet,https://www.barnet.gov.uk/citizen-home/libraries/local-studies-and-archives.html,Barnet Local Studies and Archives,200222812,E09000003,The Burroughs,,,Hendon,E05000055,-0.22893283174939041,522569.60794201086,51.58859384731274,189340.64237773523,Barnet,Archives,E09000003,11/27/2022
Barnet,,,200196017,E09000003,"5 Nether Street, Tally Ho Corner",North Finchley,,West Finchley,E05000061,-0.17669950896364456,526119.8024075672,51.61281643920563,192122.6153572988,Barnet,Artists workspaces,E09000003,11/27/2022
Barnet,https://www.artsdepot.co.uk/,Arts Depot ,200196017,E09000003,5 Nether St,North Finchley,,West Finchley,E05000061,-0.17669950896364456,526119.8024075672,51.61281643920563,192122.6153572988,Barnet,Arts centres,E09000003,11/27/2022
Barnet,,Phoenix (East Finchley),000200061366,E09000003,,52 High Road,East Finchley,East Finchley,E05000049,-0.16207935928403538,527312.0701293945,51.588004519469884,189336.25012210011,Barnet,Cinemas,E09000003,11/27/2022
Barnet,,Vue North Finchley,000200217093,E09000003,Great North Leisure Park,Chaplin Square,,Woodhouse,E05000063,-0.17170618521524744,526602.6301269978,51.60333657551914,191024.34008789808,Barnet,Cinemas,E09000003,11/27/2022
