borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Brent,https://www.brent.gov.uk/archives,Brent Museum and Archives,202149110,E09000005,The Library at Willesden Green ,95 High Road,Willesden,Willesden Green,E05000105,-0.22892150078570994,522683.28737960896,51.54665039984011,184677.2601526985,Brent,Archives,E09000005,11/27/2022
,,Second Floor Studios & Arts,,,Palace Arts Way,,,,,-0.2832765486319462,518881.68883215345,51.55954184637806,186020.66490970028,Brent,Artists workspaces,E09000005,11/27/2022
Brent,http://www.lightfactoryworkshops.co.uk,,202040584,E09000005,6 scrubs Lane,,,Kensal Green,E05000092,-0.2387017553079721,522044.3802157404,51.532049761750315,183037.54643996974,Brent,Artists workspaces,E09000005,11/27/2022
Brent,createspacelondon.org,,202197437,E09000005,"Wembly Point, 1 Harrow Rd",,,Tokyngton,E05000102,-0.2738966626335012,519570.91073591297,51.54461353651682,184376.2008432041,Brent,Artists workspaces,E09000005,11/27/2022
Brent,www.acava.org,Barham Park,202209700,E09000005,660 Harrow Rd,,,Sudbury,E05000101,-0.31099268904461874,516979.4950275684,51.55232007800864,185172.95916370134,Brent,Artists workspaces,E09000005,11/27/2022
Brent,https://www.brent.gov.uk/your-council/the-library-at-willesden-green/,The Library at Willesdon Green,202149110,E09000005,95 High Road,Willesden ,,Willesden Green,E05000105,-0.22892150078570994,522683.28737960896,51.54665039984011,184677.2601526985,Brent,Arts centres,E09000005,11/27/2022
,,Cineworld Cinema London Wembley,,,Stadium Way,,,,,-0.2821430942921767,519078.57838179916,51.55635200667732,185614.42424679548,Brent,Cinemas,E09000005,11/27/2022
Brent,,The Lexi Cinema,000202195465,E09000005,,194b Chamberlyne Road,Kensal Rise,Brondesbury Park,E05000087,-0.22102474614400092,523367.0001221001,51.53708177117688,183573.00012210011,Brent,Cinemas,E09000005,11/27/2022
Brent,,Tricycle Cinema,000202124574,E09000005,,269 Kilburn High Road,,Kilburn,E05000094,-0.19856005482910757,524910.0001221001,51.5424677401049,184210.00012210011,Brent,Cinemas,E09000005,11/27/2022
Brent,www.cineworld.co.uk,Cineworld Wembley,000202206309,E09000005,,Wembley Park Blvd,,Tokyngton,E05000102,-0.2819125460195152,519095.0001221001,51.55618293631423,185596.00012210011,Brent,Cinemas,E09000005,11/27/2022
Brent,http://www.brentartistsresource.org.uk/#,Brent Artists Resource,202054057,E09000005,4⁄5 Queen’s Parade,NA,NA,Willesden Green,E05000105,-0.2222181595873014,523257.0001221001,51.547163500729425,184692.00012210011,Brent,Commercial galleries,E09000005,11/27/2022
Brent,,Woodheyes,202029222,E09000005,34 Woodheyes Road, London,NA,Stonebridge,E05000100,-0.255109297580561,520967.0001221001,51.55084099865548,185046.00012210011,Brent,Community centres,E09000005,11/27/2022
Brent,http://www.unitycentre.org.uk,Unity Centre,202146192,E09000005,103 Church Road, London,NA,Harlesden,E05000091,-0.2519587501092626,521204.0001221001,51.54384221338124,184273.00012210011,Brent,Community centres,E09000005,11/27/2022
Brent,,The Stonebridge Hub,202196460,E09000005,6 Hillside,Brent,NA,Stonebridge,E05000100,-0.259221178573304,520708.0001221001,51.5410003815394,183945.00012210011,Brent,Community centres,E09000005,11/27/2022
