borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Bromley,,Odeon Beckenham,010003626016,E09000006,,The High Street,,Copers Cope,E05000113,-0.02978938493543999,537018.0001221001,51.406584118758595,169403.00012210011,Bromley,Cinemas,E09000006,11/27/2022
Bromley,http://bethlemgallery.com/#,Bethlem Gallery,10003615210,E09000006,Bethlem Royal Hospital,Monks Orchard Road,NA,Kelsey and Eden Park,E05000120,-0.02814025538515905,537211.0001221001,51.380402272119106,166495.00012210011,Bromley,Commercial galleries,E09000006,11/27/2022
Bromley,http://www.facebook.com/darrick.wood,Darrick Wood Community Centre,10003626647,E09000006,Broadwater Gardens,Bromley,NA,Farnborough and Crofton,E05000118,0.07082131881092234,544147.0001221001,51.364340158205266,164899.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,http://www.mytimeactive.co.uk/leisure/crofton-halls,Crofton Halls,10003626864,E09000006,Crofton Halls, Crofton Road, Orpington,Farnborough and Crofton,E05000118,0.08887779700968977,545377.0001221001,51.37278867927399,165874.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,,Windsor Drive Community Centre (Chelsfield),100022899499,E09000006,Windsor Drive, Orpington,NA,Chelsfield and Pratts Bottom,E05000110,0.10590848001900091,546616.0001221001,51.3559256647051,164033.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,http://www.bromley.gov.uk/CotmandeneCommunityCentre,Cotmandene Community Resource Centre,100022898298,E09000006,64 Cotmandene Crescent, St. Paul's Cray, Orpington,Cray Valley West,E05000115,0.10650957837652701,546506.0001221001,51.403448305345954,169318.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,,Assembly Halls - West Wickham,100022897671,E09000006,Assembly Halls, 18 Gates Green Road, West Wickham,Hayes and Coney Hall,E05000119,0.005780632385565183,539609.0001221001,51.36796338445021,165176.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,http://www.sandersonhall.com/,Sanderson Hall - St Paul's Cray,100022898279,E09000006,Mickleham Road, St Paul's Cray,NA,Cray Valley West,E05000115,0.1030729585734151,546264.0001221001,51.404391458153455,169416.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,http://www.orpingtonvillagehall.org.uk,Orpington Village Hall,10070007136,E09000006,311 High Street, Orpington,NA,Orpington,E05000122,0.09975286747315557,546133.0001221001,51.373034933366746,165923.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,http://www.mytimeactive.co.uk/leisure/beckenham-public-hall,Beckenham Public Hall,100022896627,E09000006,4 Bromley Road,Bromley,NA,Copers Cope,E05000113,-0.0228231425454385,537498.0001221001,51.40805867811709,169580.00012210011,Bromley,Community centres,E09000006,11/27/2022
Bromley,http://www.wickhamhall.org.uk,Wickham Hall,100022897602,E09000006,Sussex Road,Bromley,NA,West Wickham,E05000127,-0.01786853418820336,537936.0001221001,51.37697313063567,166133.00012210011,Bromley,Community centres,E09000006,11/27/2022
