borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Tower Hamlets,https://blog.hrp.org.uk/archive/,Historic Royal Palaces Architectural Drawings Archive,6086565,E09000030,Waterloo Block HM Tower of London,,,St. Katharine's & Wapping,E05009330,-0.07624551384551244,533378.8481400628,51.50827522899562,180678.10078296077,City of London,Archives,E09000001,11/27/2022
Tower Hamlets,https://royalarmouries.org/,"Royal Armouries Library, Tower of London",6086565,E09000030,The Library,Royal Armouries,HM Tower of London,St. Katharine's & Wapping,E05009330,-0.07624551384551244,533378.8481400628,51.50827522899562,180678.10078296077,City of London,Archives,E09000001,11/27/2022
Tower Hamlets,https://www.bartshealth.nhs.uk/the-royal-london-hospital-museum-and-archives,Royal London Hospital Archives,6086730,E09000030,Royal London Hospital Archives, 9 Prescot Street,,Whitechapel,E05009336,-0.07041242640004805,533773.7728341245,51.51160554779249,181059.00707694312,City of London,Archives,E09000001,11/27/2022
Tower Hamlets,https://www.rcpsych.ac.uk/,Royal College of Psychiatrists,6193878,E09000030,21 Prescot Street,,,Whitechapel,E05009336,-0.07109835506890998,533726.7422412409,51.511416482973054,181036.7335189351,City of London,Archives,E09000001,11/27/2022
City and County of th,https://www.baringarchive.org.uk/,Baring Archive,95512518,E09000001,8-10 Moorgate,,,Broad Street,E05009295,-0.08922629221024543,532457.2586765247,51.515516990930195,181459.64550480508,City of London,Archives,E09000001,11/27/2022
City and County of th,,Employment Policy Institute,95500292,E09000001,Beaufort House ,15 St Botolph Street,,Portsoken,E05009308,-0.07588712169359235,533383.861428427,51.51506783327342,181433.9448269448,City of London,Archives,E09000001,11/27/2022
City and County of th,https://www.prudential.co.uk/about-us/our-history/our-archives,Prudential Group Archives,95503633,E09000001,Prudential plc Laurence Pountney Hill,,,Dowgate,E05009303,-0.08904024058696591,532485.0434655742,51.51039098106976,180890.07624471904,City of London,Archives,E09000001,11/27/2022
City and County of th,https://www.sbf.org.uk/,St Bride Library,95511226,E09000001,St Bride Institute ,Bride Lane ,Fleet Street,Castle Baynard,E05009297,-0.10502349280047492,531367.2944332145,51.51349204783571,181206.01379450312,City of London,Archives,E09000001,11/27/2022
City and County of th,https://www.rothschildarchive.org/,The Rothschild Archive,95511233,E09000001,New Court ,St Swithin's Lane,,Walbrook,E05009312,-0.08903173539661931,532480.0479981588,51.51231528689345,181104.0345846496,City of London,Archives,E09000001,11/27/2022
City and County of th,https://www.apothecaries.org/,Worshipful Society of Apothecaries,95511244,E09000001,Apothecaries' Hall ,Blackfriars Lane,,Farringdon Within,E05009304,-0.10288661886062263,531517.2600624943,51.51289096433619,181143.0277393532,City of London,Archives,E09000001,11/27/2022
City and County of th,http://www.carpentersco.com/,Carpenters Company,95511248,E09000001,Carpenters Hall ,Throgmorton Avenue,,Broad Street,E05009295,-0.08593668491623555,532682.0123228506,51.51669821477163,181596.93537830457,City of London,Archives,E09000001,11/27/2022
City and County of th,https://www.clothworkers.co.uk/,Clothworkers Company,95511249,E09000001,Clothworkers' Hall ,Dunster Court ,Mincing Lane,Tower,E05009310,-0.08113809363590549,533029.9277501749,51.51152987376919,181031.04153595428,City of London,Archives,E09000001,11/27/2022
