borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Croydon,http://www.spurgeons.ac.uk/,Spurgeon's College,100023000000,E09000008,189 South Norwood Hill,,,Thornton Heath,E05011486,-0.08620250362051099,532984.0190699238,51.40643281567134,169337.341730293,Croydon,Archives,E09000008,11/27/2022
Croydon,https://www.ageuk.org.uk/,Age Concern,200001000000,E09000008,National Old People's Welfare Council ,Astral House ,1268 London Road,Norbury & Pollards Hill,E05011472,-0.12052153085368081,530596.6525512959,51.406835526311106,169320.3596263519,Croydon,Archives,E09000008,11/27/2022
Croydon,www.turf-projects.com,,200000000000,E09000008,"46/47 Trinity Court (Ground Floor),","Whitgift Shopping Centre,",,Fairfield,E05011468,-0.0990104138512229,532180.1841605377,51.37635390109545,165970.14209868602,Croydon,Artists workspaces,E09000008,11/27/2022
Croydon,https://fairfield.co.uk/,Fairfield Halls ,100022917675,E09000008,Park Ln,,,Fairfield,E05011468,-0.09577807383074295,532416.1482631542,51.3725243869017,165550.2287229956,Croydon,Arts centres,E09000008,11/27/2022
Croydon,,David Lean Cinema,200001222331,E09000008,,Katherine St,,Fairfield,E05011468,-0.09740406003535503,532417.0001221001,51.37163655625374,165393.00012210011,Croydon,Cinemas,E09000008,11/27/2022
Croydon,,Vue Croydon,010001004802,E09000008,,14 High St,,Fairfield,E05011468,-0.09948180925774962,532270.0001221001,51.37247073348183,165482.00012210011,Croydon,Cinemas,E09000008,11/27/2022
Croydon,,Vue Croydon Purley Way,100022906148,E09000008,Valley Park Leisure Complex,21 Hesterman Way,,Broad Green,E05011465,-0.1229244685812439,530624.0001221001,51.377597443985955,166010.00012210011,Croydon,Cinemas,E09000008,11/27/2022
Croydon,,The Eagle Community Centre,100022902578,E09000008,52 Tamworth Road,Croydon,NA,Broad Green,E05000149,-0.10368260097368151,531974.0001221001,51.37374398241961,165616.00012210011,Croydon,Community centres,E09000008,11/27/2022
Croydon,https://coulsdoncommunitycentre.co.uk/,Coulsdon Community Centre,200001205739,E09000008,Chipstead Valley Road,Croydon,NA,Coulsdon West,E05000151,-0.14612375152127183,529173.0001221001,51.319498382534256,159509.00012210011,Croydon,Community centres,E09000008,11/27/2022
Croydon,http://shirleycca.com/,Shirley Community Centre,200001209094,E09000008,28 Shrublands Avenue,Croydon,NA,Shirley,E05000163,-0.029181674169054445,537174.0001221001,51.36853889515169,165174.00012210011,Croydon,Community centres,E09000008,11/27/2022
