borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Ealing,https://www.nct.org.uk/,National Childbirth Trust,12102911,E09000009,Alexandra House ,Oldham Terrace,,South Acton,E05000188,-0.26973939538403474,519960.7685953658,51.505938426455245,180083.03872269462,Ealing,Archives,E09000009,11/27/2022
Ealing,https://www.ealing.gov.uk/info/201129/local_history/1888/local_history_centre/1,Ealing Local History Centre,12148296,E09000009,Central Library ,103 Ealing Broadway Centre ,The Broadway,Ealing Broadway,E05000173,-0.3023701174739078,517680.28850099834,51.51233211579817,180740.8467767918,Ealing,Archives,E09000009,11/27/2022
Hammersmith and Fulha,http://catholicunion.org.uk/,Catholic Union of Great Britain,34000250,E09000013,St Maximilian Kolbe House ,63 Jeddo Road,,Askew,E05000251,-0.2489180690435214,521409.44910615426,51.50441553910975,179948.10231324856,Ealing,Archives,E09000009,11/27/2022
Ealing,www.acava.org,Colville Rd,12093573,E09000009,Units 2 and 4,11 Colville Rd,,South Acton,E05000188,-0.27372393205347567,519701.8179071055,51.49926169325689,179334.17612402933,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,www.acava.org,Vale Grove,12155317,E09000009,Impress House,,,Southfield,E05000191,-0.2613360321905066,520544.6401474412,51.50562536135133,180062.05789943307,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,,,12175823,E09000009,Singapore Road,West Ealing,,Elthorne,E05000176,-0.32648898994059716,516010.71378343704,51.51091069767313,180544.24414197775,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,http://www.westlondonartfactory.com/about-us,,12187273,E09000009,135 Dukes Road,,,East Acton,E05000175,-0.2823962397938095,519035.9950879923,51.523803699480226,182048.63894758653,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,http://queensrollahouse.com/,Queensrolla House,12181846,E09000009,18 Trading Estate Road,,,East Acton,E05000175,-0.26921314428187104,519943.7970636092,51.526280789792715,182345.60604343662,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,www.acava.org,Park Royal,12105792,E09000009,Unit A/B,28 - 30 Park Royal Rd,,East Acton,E05000175,-0.2674167164349132,520066.7708942134,51.52689275256757,182416.59581070143,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,www.artistic-spaces.co.uk,52-56 Standard Road,12189460,E09000009,"Park Royal, London ",,,East Acton,E05000175,-0.2637877059509797,520314.71980151965,51.5283049079184,182579.57209543756,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,www.acava.org,Stewkley House,12181269,E09000009,2 Wadsworth Rd ,,,Perivale,E05000187,-0.3176310011458806,516560.610446597,51.536201949528795,183370.27583147754,Ealing,Artists workspaces,E09000009,11/27/2022
Ealing,,Vue Action,000012148223,E09000009,Royale Leisure Park,Western Ave,Park Royal,East Acton,E05000175,-0.27971974333580263,519328.0001221001,51.52520465509076,182155.00012210011,Ealing,Cinemas,E09000009,11/27/2022
Ealing,http://www.pitzhanger.org.uk/#,Pitzhanger Manor House & Gallery,12141314,E09000009,Walpole Park,Mattock Lane,NA,Walpole,E05000192,-0.30552857075153844,517576.0001221001,51.51039955309848,180467.00012210011,Ealing,Commercial galleries,E09000009,11/27/2022
