borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Greenwich,https://www.greenwichheritage.org/visit/greenwich-heritage-centre,Greenwich Heritage Centre,10010229615,E09000011,Artillery Square Royal Arsenal,,,Woolwich Riverside,E05000230,0.06942240055540518,543528.586116379,51.49430804526589,179400.98373037792,Greenwich,Archives,E09000011,11/27/2022
Greenwich,https://www.rmg.co.uk/research-collections/caird-library,National Maritime Museum: The Caird Library and Archive,10010243516,E09000011,Park Row ,Romney Road ,,Greenwich West,E05000222,-0.005215640688933796,538389.4370892163,51.480940880886635,177771.03641309228,Greenwich,Archives,E09000011,11/27/2022
Greenwich,https://www.gre.ac.uk/,University of Greenwich,100023000000,E09000011,Dreadnought Library Old Royal Naval College Park Row,,,Greenwich West,E05000222,-0.00639741437805922,538301.2702322197,51.48296791947644,177994.16156371043,Greenwich,Archives,E09000011,11/27/2022
Lewisham,https://www.trinitylaban.ac.uk/student-life/facilities/faculty-of-dance/laban-library-archive,Trinity Laban Conservatoire of Music and Dance: Laban Archive,100024000000,E09000023,Laban Creekside,,,New Cross,E05000449,-0.019007985149250492,537433.8729597077,51.48032533091159,177676.5973387747,Greenwich,Archives,E09000011,11/27/2022
Greenwich,www.spacestudios.org.uk,Azof,100023227586,E09000011,Azof Street,Greenwich,,Peninsula,E05000225,0.00793434348362516,539277.7023272302,51.48899702185057,178691.66073155135,Greenwich,Artists workspaces,E09000011,11/27/2022
Greenwich,artfix.org.uk,,100000000000,E09000011,51 Powis street,,,Woolwich Riverside,E05000230,0.0665014211373603,543335.4744603722,51.49125055201966,179055.33777597063,Greenwich,Artists workspaces,E09000011,11/27/2022
Greenwich,,,10010244186,E09000011,"2, Commonwealth Buildings",Woolwich Church St,,Woolwich Riverside,E05000230,0.046945644053961746,541973.4318403734,51.4928050628354,179190.02517277695,Greenwich,Artists workspaces,E09000011,11/27/2022
Greenwich,https://www.thames-sidestudios.co.uk/,Thames-side studios,10010229623,E09000011,5 Harrington Way,Woolwich,,Woolwich Riverside,E05000230,0.04396507067591265,541761.7067982499,51.49437649646916,179358.94974009023,Greenwich,Artists workspaces,E09000011,11/27/2022
Greenwich,www.arthub.org.uk,Art Hub HQ,100000000000,E09000011,"Unit 2b, Bldg 28, ",34 Bowater Rd,,Woolwich Riverside,E05000230,0.039912482507605776,541479.8788737084,51.49456696362816,179372.27977697353,Greenwich,Artists workspaces,E09000011,11/27/2022
Greenwich,,Greenwich Picturehouse,200001082727,E09000011,,180 Greenwhich Rd,,Greenwich West,E05000222,-0.008078420370164877,538309.0001221001,51.47892292931554,177487.00012210011,Greenwich,Cinemas,E09000011,11/27/2022
Greenwich,,Odeon Greenwich,010010223864,E09000011,,Bugsby Way,,Peninsula,E05000225,0.014369974777136297,539833.4801024944,51.490060828952956,178768.05010989308,Greenwich,Cinemas,E09000011,11/27/2022
Greenwich,www.cineworld.co.uk,Cineworld The O2 Greenwich,010010224824,E09000011,,The O2,Peninsula Square,Peninsula,E05000225,0.0061320437949981274,539223.7200927958,51.50251280959514,180136.86010739952,Greenwich,Cinemas,E09000011,11/27/2022
Greenwich,http://www.rmg.co.uk/royal-observatory#,Royal Observatory,10010200750,E09000011,Blackheath Avenue,NA,NA,Greenwich West,E05000222,0.000744053983955919,538927.8900756985,51.476830938629526,177271.1000976935,Greenwich,Commercial galleries,E09000011,11/27/2022
Greenwich,http://www.paulmcgallery.com/#,Paul McPherson Gallery,100020981999,E09000011,77 Lassell Street,NA,NA,Peninsula,E05000225,0.003458820167393555,539094.0001221001,51.48418554558121,178094.00012210011,Greenwich,Commercial galleries,E09000011,11/27/2022
Greenwich,http://www.greenwich-printmakers.org.uk/#,Greenwich Printmakers Gallery,100023537574,E09000011,1a Greenwich Market,NA,NA,Greenwich West,E05000222,-0.007576419179712834,538338.0001221001,51.48085704947805,177703.00012210011,Greenwich,Commercial galleries,E09000011,11/27/2022
Greenwich,http://www.oldroyalnavalcollege.org/#,Old Royal Naval College,200002800648,E09000011,2 Cutty Sark Gardens,NA,NA,Greenwich West,E05000222,-0.0071853985177340535,538360.6101073995,51.48235586708259,177870.3900756985,Greenwich,Commercial galleries,E09000011,11/27/2022
Greenwich,http://www.glyndon.org.uk/slade.htm,Slade Centre,100023243258,E09000011,Erindale,Greenwich,NA,Shooters Hill,E05000227,0.08665909241179041,544888.5601195991,51.478260367111,177596.57012939453,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,https://www.greenwichheritage.org/whats-on/detail/community-groups-at-charlton-house,Charlton House,10010233503,E09000011,Charlton Road,Greenwich,NA,Charlton,E05000216,0.03873053348857271,541555.0501098931,51.48015803297103,177713.80010989308,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,,St Marys Community Centre,100023282442,E09000011,180 Eltham High Street,Greenwich,NA,Eltham South,E05000219,0.05868991453755549,543034.8601073995,51.45005809024685,174405.86010739952,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,http://www.glyndon.org.uk/invicta.htm,Invicta Hall,100023242554,E09000011,26 Strandfield Close,Greenwich,NA,Plumstead,E05000226,0.09512394344501161,545451.0001221001,51.486198751353136,178496.00012210011,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,,Knee Hill Community Hall,10010224800,E09000011,4 Knee Hill,Greenwich,NA,Abbey Wood,E05000214,0.12266254374826922,547354.0001221001,51.488876146771524,178848.7700805962,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,,Anstridge Community Hall,10010224653,E09000011,79 Anstridge Road,Greenwich,NA,Eltham South,E05000219,0.08426945945370869,544820.7700805962,51.447260551483815,174145.0800780952,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,,Orchard Community Hall,10010220228,E09000011,120 Lewisham Road,Greenwich,NA,Greenwich West,E05000222,-0.011895464898762037,538075.5001221001,51.46848661228132,176319.40008549392,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,,Triangle Community Centre,10010216516,E09000011,Armitage Road,Greenwich,NA,Peninsula,E05000225,0.010047640962591723,539544.0001221001,51.48660900711887,178376.00012210011,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,,Coldharbour Hall,10010214625,E09000011,William Barefoot Drive,Greenwich,NA,Coldharbour and New Eltham,E05000217,0.05994179505565901,543183.4100952,51.43036654472471,172218.87011719495,Greenwich,Community centres,E09000011,11/27/2022
Greenwich,,Flintmill Meeting Rooms,10010206087,E09000011,72 Flintmill Crescent,Greenwich,NA,Kidbrooke with Hornfair,E05000223,0.04754926081110308,542217.7901000977,51.46392273561961,175925.73010249436,Greenwich,Community centres,E09000011,11/27/2022
