borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Tower Hamlets,https://www.spab.org.uk/,Society for the Protection of Ancient Buildings,6001685,E09000030,37 Spital Square,,,Spitalfields & Banglatown,E05009333,-0.07846714827917907,533189.9124816293,51.52020003485407,181999.8360322207,Hackney,Archives,E09000012,11/27/2022
Tower Hamlets,http://www.thisisliveart.co.uk/resources/study-room/,Live Art Development Agency's Study Room,6077530,E09000030,White Building, Unit 7 Queen's Yard ,White Post Lane,Bow East,E05009319,-0.022112690097632323,537030.110317108,51.54298590870141,184637.27011714817,Hackney,Archives,E09000012,11/27/2022
Hackney,http://www.bpf.co.uk/,British Plastics Federation,10008338301,E09000012,5 - 6 Bath Place ,Rivington Street,,Hoxton East & Shoreditch,E05009377,-0.08272206340316252,532876.990304526,51.526312808735966,182671.70963354048,Hackney,Archives,E09000012,11/27/2022
Hackney,http://www.alpine-club.org.uk/ac2/ac-media/archive,Alpine Club Archives,10008348373,E09000012,55/56 Charlotte Road,,,Hoxton East & Shoreditch,E05009377,-0.08066262827919764,533020.9594431634,51.52591938983411,182631.7120352934,Hackney,Archives,E09000012,11/27/2022
Hackney,https://www.geffrye-museum.org.uk/,Geffrye Museum,100021000000,E09000012,Kingsland Road,,,Haggerston,E05009375,-0.07624406710106549,533310.9131653094,51.53155722087009,183266.55486024573,Hackney,Archives,E09000012,11/27/2022
Hackney,https://www.nspcc.org.uk/,National Society for the Prevention of Cruelty to Children,100023000000,E09000012,Library and Information Service Weston House 42 Curtain Road,,,Hoxton East & Shoreditch,E05009377,-0.0801269229761264,533065.4449335799,51.52340480570529,182353.1183846749,Hackney,Archives,E09000012,11/27/2022
Hackney,https://livability.org.uk/about-us/history-and-track-record/,Livability (Shaftesbury Society),100023000000,E09000012,50 Scrutton Street,,,Hoxton East & Shoreditch,E05009377,-0.08114908585344721,532994.9592976518,51.52326552439398,182335.77498100838,Hackney,Archives,E09000012,11/27/2022
Hackney,https://www.hackney.gov.uk/stoke-newington-library,"Hackney Public Libraries, Stoke Newington District Library",100023000000,E09000012, Church Street,Stoke Newington,,Clissold,E05009369,-0.08279582592299013,532768.9485594278,51.56161890191298,186596.8435713476,Hackney,Archives,E09000012,11/27/2022
Hackney,eatworkart.com,Netil House,100023015639,E09000012,Netil House,1 Westgate Street,,London Fields,E05009381,-0.05770595080742789,534578.651565061,51.53756412429039,183968.31210421876,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,http://www.standpointlondon.co.uk/,,10091816467,E09000012,45 Coronet Street,,,Hoxton East & Shoreditch,E05009377,-0.08182516380314092,532936.9794232905,51.52707149707812,182757.68901411985,Hackney,Artists workspaces,E09000012,11/27/2022
Tower Hamlets,https://www.unripebanana.co.uk,Unripe Banana,6023163,E09000030,"Unit 7, 268",Hackney Road,,Weavers,E05009335,-0.06895963320562752,533817.8081063883,51.53095176925747,183212.53401391703,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,www.hoxtonhall.co.uk,,100023135706,E09000012,130 Hoxton Street,,,Hoxton East & Shoreditch,E05009377,-0.07978283904772866,533064.9637829227,51.531750173675704,183281.56826424,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,www.spacestudios.org.uk,Sara Lane,100000000000,E09000012,60 Stanway Street,Hackney,,Hoxton East & Shoreditch,E05009377,-0.07892943163025179,533119.9557465187,51.533183988806535,183442.528587792,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,www.spacestudios.org.uk,Timber Wharf -Block C,100023546631,E09000012,238-240 Kingsland Road,Hackney,,Haggerston,E05009375,-0.07584196069354449,533326.1161224751,51.53589392288307,183749.42956558964,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,www.acme.org.uk,Orsman Road,10008242975,E09000012,15 Orsman Road,Hoxton,,Hoxton East & Shoreditch,E05009377,-0.07876129506914484,533122.9584710415,51.53614876850161,183772.45026944735,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,www.spacestudios.org.uk,Timber Wharf -Arches,10008324060,E09000012,238-240 Kingsland Road,Hackney,,Haggerston,E05009375,-0.0758566849218808,533324.3966155376,51.5361328259809,183775.9632708173,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,http://www.studiomanifold.org/about/,Studio Manifold,10008324060,E09000012,Ermine Mews,Laburnum Street,,Haggerston,E05009375,-0.0758566849218808,533324.3966155376,51.5361328259809,183775.9632708173,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,http://www.artworksproject.com/docs/info.html,Hertford Road Studios,10008225561,E09000012,32A Hertford Road,,,De Beauvoir,E05009371,-0.07856618856240037,533128.9595343748,51.53872642027063,184059.3812465027,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,www.spacestudios.org.uk,Triangle,100000000000,E09000012,129-131 Mare Street,Hackney,,London Fields,E05009381,-0.05755317799893572,534586.648930508,51.53844286320413,184066.28839817783,Hackney,Artists workspaces,E09000012,11/27/2022
Hackney,www.themillcoproject.co.uk,The Rose Lipman Building ,10091900721,E09000012,43 De Beauvoir Road ,,,De Beauvoir,E05009371,-0.08161328516228002,532917.0048105288,51.53896522011501,184080.39448048506,Hackney,Artists workspaces,E09000012,11/27/2022
