borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Hammersmith and Fulha,http://www.latymer-upper.org/,Latymer Upper School,34004704,E09000013,King Street,,,Ravenscourt Park,E05000261,-0.23706339544394048,522263.2499831973,51.49273647902588,178669.36916487035,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,http://www.posk.org/c5/en/library/about-library/,Polish Library POSK,34006639,E09000013,Polish Social and Cultural Centre ,238-246 King Street,,Ravenscourt Park,E05000261,-0.2374366947128584,522235.25730538176,51.49351545275808,178755.35209069256,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://williammorrissociety.org/,William Morris Society,34008094,E09000013,Kelmscott House ,26 Upper Mall ,Hammersmith,Ravenscourt Park,E05000261,-0.23550436618855625,522377.2236400355,51.49058178727145,178432.41651956883,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://spgs.org/,St Paul's Girls' School,34026608,E09000013,Brook Green ,Hammersmith,,Avonmore and Brook Green,E05000252,-0.21883326308777842,523521.9813624241,51.49513189704774,178966.33703380532,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://www.lbhf.gov.uk/libraries/local-studies-and-archives,Hammersmith and Fulham Archives and Local History Centre,34027231,E09000013,First Floor Hammersmith Library Shepherd's Bush Road,,,Hammersmith Broadway,E05000256,-0.22366629184841172,523188.05266264145,51.494584691998604,178897.344292951,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://www.nutritionsociety.org/,The Nutrition Society,34028103,E09000013,10 Cambridge Court,210 Shepherds Bush Road,,Hammersmith Broadway,E05000256,-0.2247030797950462,523114.0702851264,51.49533778359173,178979.32751195133,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://www.spr.ac.uk/,Society for Psychical Research,34037603,E09000013,1 Vernon Mews ,West Kensington,,Avonmore and Brook Green,E05000252,-0.21030917426154164,524116.84815820836,51.49391402689298,178845.36763117422,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://www.thewi.org.uk/,National Federation of Women's Institutes,34044214,E09000013,104 New Kings Road,,,Town,E05000264,-0.20387155690914466,524622.7838129627,51.47223328674403,176445.84513341548,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://www.vam.ac.uk/info/archive-of-art-and-design,V&A Archive of Art and Design,34062985,E09000013,Blythe House 23 Blythe Road,,,Avonmore and Brook Green,E05000252,-0.21384172436352888,523864.9092002048,51.496413877812444,179117.31327073695,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,https://www.vam.ac.uk/collections/theatre-performance,V&A Department of Theatre and Performance,34062985,E09000013,23 Blythe Road,,,Avonmore and Brook Green,E05000252,-0.21384172436352888,523864.9092002048,51.496413877812444,179117.31327073695,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulha,,Harrods Archive,34142299,E09000013,68-72 Hammersmith Road,,,Avonmore and Brook Green,E05000252,-0.2136265321280765,523884.9006060949,51.49454912264182,178910.35260050406,Hammersmith and Fulham,Archives,E09000013,11/27/2022
Hammersmith and Fulham,www.acava.org,Faroe Rd,34034840,E09000013,23 - 29 Faroe Rd,,,Avonmore and Brook Green,E05000252,-0.21515404976425173,523767.9355039309,51.498592089894295,179357.26679393445,Hammersmith and Fulham,Artists workspaces,E09000013,11/27/2022
Hammersmith and Fulham,www.acava.org,Hetley Rd,34100876,E09000013,62 Hetley Rd,,,Shepherd's Bush Green,E05000263,-0.23366720048757378,522467.22728245193,51.50456463827418,179990.1241278879,Hammersmith and Fulham,Artists workspaces,E09000013,11/27/2022
Hammersmith and Fulham,https://nwstudios.wordpress.com,Cadogen House,34141600,E09000013,60 Hythe Road,,,College Park and Old Oak,E05000253,-0.2361731412659659,522234.32857075345,51.526598250025984,182435.6640750171,Hammersmith and Fulham,Artists workspaces,E09000013,11/27/2022
Hammersmith and Fulham,https://nwstudios.wordpress.com,Regents House,34004522,E09000013,17 Hythe Road,,,College Park and Old Oak,E05000253,-0.24354788448396167,521718.43310814636,51.52826455604197,182608.6137827373,Hammersmith and Fulham,Artists workspaces,E09000013,11/27/2022
Hammersmith and Fulham,www.acava.org,Hythe Rd,34156437,E09000013,First Floor,17 - 19 Hythe Rd,,College Park and Old Oak,E05000253,-0.2434250001073188,521726.43203696917,51.528460553988296,182630.60999875655,Hammersmith and Fulham,Artists workspaces,E09000013,11/27/2022
Hammersmith and Fulham,https://nwstudios.wordpress.com,Apex House,34131643,E09000013,23-25 Hythe Road,,,College Park and Old Oak,E05000253,-0.24447476603060936,521653.44631361467,51.528530214205134,182636.60626333224,Hammersmith and Fulham,Artists workspaces,E09000013,11/27/2022
Brent,www.acme.org.uk,Harrow Road,202199583,E09000005,733 Harrow Road,Kensal Green,,Kensal Green,E05000092,-0.23031426855245707,522629.25893786864,51.530835474919115,182916.58526250272,Hammersmith and Fulham,Artists workspaces,E09000013,11/27/2022
Hammersmith and Fulham,https://irishculturalcentre.co.uk/,Irish Cultural Centre ,34156699,E09000013,5 Black's Rd,Hammersmith,,Hammersmith Broadway,E05000256,-0.2255847105141464,523061.03561283485,51.492313231802655,178641.57047991396,Hammersmith and Fulham,Arts centres,E09000013,11/27/2022
Hammersmith and Fulham,https://www.riversidestudios.co.uk/,Riverside Studios ,34157767,E09000013,19 Crisp Rd, Hammersmith,,Hammersmith Broadway,E05000256,-0.228255396863794,522884.84292738046,51.48890897112333,178258.58942920325,Hammersmith and Fulham,Arts centres,E09000013,11/27/2022
Hammersmith and Fulham,,Vue Cinema Fulham Broadway,000034131058,E09000013,Fulham Broadway Retail Centre,Fulham Rd,,Parsons Green and Walham,E05000260,-0.19291771921647258,525473.0001221001,51.47990314719368,177263.00012210011,Hammersmith and Fulham,Cinemas,E09000013,11/27/2022
Hammersmith and Fulham,,Riverside Studios,000034158197,E09000013,,65 Aspenlea Rd,Hammersmith,Fulham Reach,E05000255,-0.21626584742510419,523837.12011719495,51.48538177356929,177832.42010499537,Hammersmith and Fulham,Cinemas,E09000013,11/27/2022
Hammersmith and Fulham,,"Vue Shepherd's Bush



",000034141269,E09000013,Westfield London Shopping Centre,Ariel Way,"
",Shepherd's Bush Green,E05000263,-0.21982985509256242,523531.0001221001,51.50708847547983,180240.00012210011,Hammersmith and Fulham,Cinemas,E09000013,11/27/2022
Hammersmith and Fulham,http://www.studio106artgallery.org/#,Studio 106,34055693,E09000013,106 Dawes Road,NA,NA,Fulham Broadway,E05000254,-0.20243496984839404,524812.0001221001,51.479986497443896,177256.00012210011,Hammersmith and Fulham,Commercial galleries,E09000013,11/27/2022
Hammersmith and Fulham,http://www.ltbfoundation.org/#,Louise T Blouin Institute,34115265,E09000013,3 Olaf Street,NA,NA,Shepherd's Bush Green,E05000263,-0.2161873061013709,523777.0001221001,51.50957827714069,180523.00012210011,Hammersmith and Fulham,Commercial galleries,E09000013,11/27/2022
Hammersmith and Fulham,http://www.bhavan.net/art-gallery#,Bhavan Art Gallery,34140084,E09000013,4a Castletown Road,NA,NA,North End,E05000258,-0.2054703932159304,524576.0001221001,51.489251352478554,178281.00012210011,Hammersmith and Fulham,Commercial galleries,E09000013,11/27/2022
Hammersmith and Fulham,http://www.hiddevanseggelen.com/#,Hidde van Seggelen Gallery,34144768,E09000013,2 Michael Road,NA,NA,Sands End,E05000262,-0.1868940715206448,525899.0001221001,51.477076110318386,176959.00012210011,Hammersmith and Fulham,Commercial galleries,E09000013,11/27/2022
Hammersmith and Fulham,,William Church TRA Hall ,34119379,E09000013,60 Lime Grove,Hammersmith And Fulham,NA,Shepherd's Bush Green,E05000263,-0.22640851693476857,523087.0001221001,51.502457592664086,179714.00012210011,Hammersmith and Fulham,Community centres,E09000013,11/27/2022
