borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Haringey,http://www.alexandrapalace.com/,Alexandra Park and Palace Charitable Trust,10003974918,E09000014,Alexandra Palace Way,,,Alexandra,E05000266,-0.13050142940269552,529369.6876913166,51.59448347351189,190165.16346601653,Haringey,Archives,E09000014,11/27/2022
Haringey,http://www.moravian.org.uk/index.php/church-house/church-archives,Moravian Church Archive and Library,10003979924,E09000014,Moravian Church House 5-7 Muswell Hill,,,Muswell Hill,E05000274,-0.13441069250566057,529118.7809094542,51.587513635701356,189383.34505218186,Haringey,Archives,E09000014,11/27/2022
Haringey,https://www.highgateschool.org.uk/about/museum-and-archive,Highgate School Archives,100023000000,E09000014,Highgate School North Road,,,Highgate,E05000272,-0.14932404470129293,528129.0439553632,51.572201741067225,187654.7087446539,Haringey,Archives,E09000014,11/27/2022
Haringey,https://www.haringey.gov.uk/libraries-sport-and-leisure/culture-and-entertainment/visiting-haringey/haringey-archive-and-local-history,Haringey Archive Service,100024000000,E09000014,Bruce Castle Museum ,Lordship Lane ,,White Hart Lane,E05000283,-0.07544090511867615,533168.6632584871,51.59915010108335,190782.88491676096,Haringey,Archives,E09000014,11/27/2022
Haringey,http://www.parkstudioslondon.org/,"Park Sudios, Finsbury Park",100023190785,E09000014,Park Sudios,34 Scarborough Road,,Stroud Green,E05000279,-0.10641653372193136,531106.3227025818,51.570581866915084,187550.73381546623,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,http://www.newriverstudios.com/,,10003975439,E09000014,199 Eade Road,,,Seven Sisters,E05000278,-0.08813787733316752,532359.9682214763,51.57495228187851,188069.55762360932,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,https://www.pjrcreativebuilding.co.uk/,,100000000000,E09000014,718 Seven Sisters Rd,,,St. Ann's,E05000277,-0.07803631833449517,533043.761794575,51.5804164002186,188695.38105321152,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,www.themillcoproject.co.uk,Carvall Warehouse ,10003978049,E09000014,Bernard Works,23 Bernard Road ,,Tottenham Green,E05000280,-0.06836678133465894,533708.5766675373,51.58210093470421,188900.3030877746,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,https://www.pjrcreativebuilding.co.uk/,,10093591482,E09000014,Unit 7,2 Norman Rd,,Tottenham Green,E05000280,-0.06840582028451359,533704.5750726637,51.582542214585104,188949.29279123322,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,http://bonesandpearl.moonfruit.com/contact/4589196098,,10090481197,E09000014,60-68 Markfield Road,,,Tottenham Green,E05000280,-0.0639363863477529,534011.4960865323,51.58343970635787,189057.25770057767,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,www.euroart.co.uk,Euro Art Studios,200002797261,E09000014,"Units 4-6 Gaunson House, Markfield Road",,,Tottenham Green,E05000280,-0.06354760941091742,534037.4886422339,51.58375702015042,189093.2488796324,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,www.themillcoproject.co.uk,Gaunson House ,200000000000,E09000014,"Unit 3, Markfield Road ",,,Tottenham Green,E05000280,-0.06354722770264615,534037.488595345,51.583766006437486,189094.24865471513,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,www.collage-arts.org,,10022939979,E09000014,Chocolate Factory 2,4 Coburg Road,,Noel Park,E05000275,-0.11307267593858954,530577.3634108964,51.59419545068255,190164.148473466,Haringey,Artists workspaces,E09000014,11/27/2022
Haringey,https://www.berniegrantcentre.co.uk/,Bernie Grant Arts Centre ,10003985252,E09000014,Town Hall Approach Rd ,Tottenham Green,,Tottenham Green,E05000280,-0.07307594316383177,533366.6441101524,51.587475025787676,189489.18429012678,Haringey,Arts centres,E09000014,11/27/2022
Haringey,https://www.jacksonslane.org.uk/,Jacksons Lane ,100023196841,E09000014,269A Archway Rd,Highgate,,Highgate,E05000272,-0.1454041617417178,528387.9775686603,51.57668107136611,188159.60351250193,Haringey,Arts centres,E09000014,11/27/2022
Haringey,,Crouch End Picturehouse,100023207152,E09000014,,165 Tottenham Lane,,Crouch End,E05000269,-0.11906134495512047,530312.0001221001,51.58089926433547,188622.00012210011,Haringey,Cinemas,E09000014,11/27/2022
Haringey,,Arthouse Crouch End,100023208418,E09000014,,159A Tottenham Lane,Crouch End,Crouch End,E05000269,-0.11837956673981229,530358.0001221001,51.58132901391286,188671.00012210011,Haringey,Cinemas,E09000014,11/27/2022
Haringey,,Everyman Muswell Hill,100023143835,E09000014,,Fortis Green Rd,,Muswell Hill,E05000274,-0.14460955168006992,528519.0001221001,51.58910334496989,189489.00012210011,Haringey,Cinemas,E09000014,11/27/2022
Haringey,,Cineworld Wood Green,010003977027,E09000014,The Mall Wood Green,High Rd,Wood Green,Noel Park,E05000275,-0.10796280467423051,531043.0001221001,51.59404917348833,190104.00012210011,Haringey,Cinemas,E09000014,11/27/2022
Haringey,,Vue Wood Green,010003971546,E09000014,Hollywood Green,180 High Road,,Noel Park,E05000275,-0.10707274497426163,531098.0001221001,51.596355136638124,190362.00012210011,Haringey,Cinemas,E09000014,11/27/2022
Haringey,http://www.narenj.co.uk/#,Narenj Art Gallery,100023143066,E09000014,94 Alexandra Park Road,NA,NA,Alexandra,E05000266,-0.1370759832534233,529016.0001221001,51.59785152337649,190475.00012210011,Haringey,Commercial galleries,E09000014,11/27/2022
Haringey,http://www.highgateart.com/#,Highgate Contemporary Art,100023196853,E09000014,26 Highgate High Street,NA,NA,Highgate,E05000272,-0.14484899746657073,528556.0001221001,51.57011295456432,187377.00012210011,Haringey,Commercial galleries,E09000014,11/27/2022
Haringey,,Milton Road Community Centre,10003979907,E09000014,Milton Road,London Borough Of Haringey,NA,West Green,E05000282,-0.09824167883579579,531733.0001221001,51.5882531141983,189477.00012210011,Haringey,Community centres,E09000014,11/27/2022
Haringey,,Mitalee Centre,10003982757,E09000014,Stanley Road,London Borough Of Haringey,NA,St. Ann's,E05000277,-0.09550727325900794,531930.0001221001,51.585627630890926,189190.00012210011,Haringey,Community centres,E09000014,11/27/2022
Haringey,,Kurdish Advice Centre,10022939793,E09000014,1 Eastfield Road,London Borough Of Haringey,NA,Hornsey,E05000273,-0.11946857300630555,530260.0001221001,51.58921576404642,189546.00012210011,Haringey,Community centres,E09000014,11/27/2022
Haringey,,Park Lane Community Centre,100023163085,E09000014,46 Park Lane,London Borough Of Haringey,NA,Northumberland Park,E05000276,-0.06333936391477268,534111.0001221001,51.60164021905645,191029.00012210011,Haringey,Community centres,E09000014,11/27/2022
Haringey,,Selby Centre,100023166236,E09000014,Selby Road,London Borough Of Haringey,NA,White Hart Lane,E05000283,-0.07693007687251893,533152.0001221001,51.60777244476685,191686.00012210011,Haringey,Community centres,E09000014,11/27/2022
Haringey,,Lord Morrison Hall,100023166637,E09000014,Scales Road,London Borough Of Haringey,NA,Tottenham Hale,E05000281,-0.06609953795338999,533952.0001221001,51.59072263011235,189810.00012210011,Haringey,Community centres,E09000014,11/27/2022
Haringey,,Haringey Grove Community Centre,100023205171,E09000014,Denmark Road,London Borough Of Haringey,NA,Harringay,E05000271,-0.10766108122437745,531084.0001221001,51.587065365532,189328.00012210011,Haringey,Community centres,E09000014,11/27/2022
Haringey,,Whitehall & Tenterden Community Centre,200002798089,E09000014,Whitehall Street,London Borough Of Haringey,NA,Northumberland Park,E05000276,-0.06812438189030243,533775.0001221001,51.603229997613795,191197.00012210011,Haringey,Community centres,E09000014,11/27/2022
