borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Harrow,https://www.harrowschool.org.uk/The-Archive,Harrow School Archives,10070266096,E09000015,5 High Street,Harrow on the Hill,,Harrow on the Hill,E05000289,-0.3373830230332402,515099.8192672474,51.5722820843308,187350.44403590448,Harrow,Archives,E09000015,11/27/2022
Harrow,http://www.salvatorians.com/,Society of the Divine Saviour (Salvatorians),100023000000,E09000015,129 Spencer Road,Harrow Weald,,Wealdstone,E05000304,-0.3373896868539994,515028.89807600575,51.60015880621216,190449.91349443927,Harrow,Archives,E09000015,11/27/2022
Harrow,https://www.nlcs.org.uk/,North London Collegiate School,200000000000,E09000015,Canons Drive ,Edgware,,Canons,E05000286,-0.29470109982720466,517948.27324458817,51.61417689035562,192076.59629180084,Harrow,Archives,E09000015,11/27/2022
Harrow,http://www.harrow.gov.uk/info/100009/leisure_and_culture/183/harrow_local_history_centre,Harrow Local History Collection,200000000000,E09000015,Headstone Manor and Museum Pinner View,Harrow,,Headstone North,E05000292,-0.35261308223347515,513990.1061372784,51.59406081511603,189748.0404308905,Harrow,Archives,E09000015,11/27/2022
Harrow,www.usurp.org.uk,,200000000000,E09000015,Usurp Art,140 Vaughan Road,,West Harrow,E05000305,-0.3493606728198522,514253.0225246992,51.579042533493386,188083.290677669,Harrow,Artists workspaces,E09000015,11/27/2022
Brent,www.acava.org,Honeypot Lane,202208355,E09000005,"1-2 Palm Court, 1-2 Tulip Court, 1 Acacia Court",,,Queensbury,E05000099,-0.28381962272148176,518763.11430707236,51.59056613948688,189469.09879502543,Harrow,Artists workspaces,E09000015,11/27/2022
Harrow,www.acava.org,Whitefriars Avenue,100021000000,E09000015,Winsor & Newton Building,Whitefrairs Avenue,,Wealdstone,E05000304,-0.34039283106657015,514824.9382851585,51.598582672561434,190269.94489080674,Harrow,Artists workspaces,E09000015,11/27/2022
Harrow,https://harrowarts.com/,Harrow Arts Centre ,200000319916,E09000015,171 Uxbridge Road,Hatch End,,Hatch End,E05000291,-0.3638031612556714,513179.3026930188,51.60848854476744,191334.81759205525,Harrow,Arts centres,E09000015,11/27/2022
Harrow,,Vue Harrow,200000313205,E09000015,,St Anns Road,,Greenhill,E05000288,-0.33738970734283125,515187.0001221001,51.58096726765581,188263.00012210011,Harrow,Cinemas,E09000015,11/27/2022
Harrow,http://www.usurp.org.uk/exhibitions/#,Usurp,100021292207,E09000015,140 Vaughan Road,NA,NA,West Harrow,E05000305,-0.347784663372473,514472.9600829929,51.57854553008754,187977.3900756985,Harrow,Commercial galleries,E09000015,11/27/2022
