borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Havering,,Vue Romford,200002674389,E09000016,,1-15 Waterloo Rd,,Romford Town,E05000319,0.1817007623480088,551168.3400878981,51.57439657333553,188477.9600829929,Havering,Cinemas,E09000016,11/27/2022
Havering,,South Hornchurch Community Association,10091576887,E09000016,South Hornchurch Social Hall Nelson Road, Rainham,NA,South Hornchurch,E05000321,0.18868942711601938,551801.0001221001,51.529782874538135,183532.00012210011,Havering,Community centres,E09000016,11/27/2022
Havering,,New Windmill Hall Community Association,10091576889,E09000016,302 St Mary’s Lane, Upminster,NA,Upminster,E05000323,0.24694440506301726,555752.3201293945,51.55572153392045,186538.49011229724,Havering,Community centres,E09000016,11/27/2022
Havering,,Front Lane Community Association,100023517306,E09000016,Cranham Social Hall, 103 Front Lane, Cranham,Cranham,E05000307,0.26779521149013197,557174.1801147982,51.5624757939021,187334.0800780952,Havering,Community centres,E09000016,11/27/2022
Havering,,Bretons Community Association,200002675379,E09000016,Bretons Manor House 411 Rainham Road Rainham,NA,NA,Elm Park,E05000308,0.18737794241486133,551671.120117195,51.54149009962246,184830.9600829929,Havering,Community centres,E09000016,11/27/2022
Havering,http://www.hwnc.org.uk/,Harold Wood Neighbourhood Centre,100023216516,E09000016,The Old School, Gubbins Lane, Harold Wood,Harold Wood,E05000312,0.2353819271285347,554837.0701293945,51.58921008546693,190237.38012699783,Havering,Community centres,E09000016,11/27/2022
Havering,http://www.hhdca.co.uk/,Harold Hill & District Community Association,100023217173,E09000016,Gooshays Drive, Harold Hill,NA,Gooshays,E05000310,0.22767218661421745,554248.5100707933,51.60531730625401,192011.98010249436,Havering,Community centres,E09000016,11/27/2022
Havering,www.nrca.co.uk,North Romford Community Association,100023516607,E09000016,Clockhouse Lane Collier Row,NA,NA,Havering Park,E05000313,0.16535798612621996,549951.3300780952,51.60012564304783,191305.04010009766,Havering,Community centres,E09000016,11/27/2022
Havering,https://www.tweedwayhall.com/,Tweedway Hall Community Association,100023211949,E09000016,Tweedway Hall Tweed Way, Collier Row,NA,Pettits,E05000317,0.17957555292986388,550939.4801024944,51.59901312868742,191210.61010739952,Havering,Community centres,E09000016,11/27/2022
Havering,,Elm Park Community Association,100023213863,E09000016,Elm Park Assembly Hall, Eyhurst Avenue, Elm Park,St. Andrew's,E05000320,0.19989017855252303,552502.1600952,51.55238849381489,186068.73010249436,Havering,Community centres,E09000016,11/27/2022
Havering,,Mardyke Youth & Community Association,100023214801,E09000016,Mardyke Social Centre, South Street, Rainham,South Hornchurch,E05000321,0.17100190470371482,550580.3801269978,51.527964350066924,183293.25012210011,Havering,Community centres,E09000016,11/27/2022
Havering,http://www.theforestrowcentre.co.uk/,The Forest Row Community Centre,100023217426,E09000016,241 Lodge Lane, Collier Row,NA,Havering Park,E05000313,0.15511510541981866,549226.120117195,51.604994315580605,191825.41009519994,Havering,Community centres,E09000016,11/27/2022
Havering,www.ardleighhouse.org,Ardleigh House Community Association,100023515927,E09000016,42 Ardleigh Green Road,Havering,NA,Squirrel's Heath,E05000322,0.22332924700319529,554032.2401122972,51.58036352003472,189228.30010989308,Havering,Community centres,E09000016,11/27/2022
Havering,http://www.avelonroadcentre.com/,Avelon Road Centre,10033420082,E09000016,100 Avelon Road,Havering,NA,South Hornchurch,E05000321,0.20143605579399684,552671.4500731975,51.53382315981338,184007.75012210011,Havering,Community centres,E09000016,11/27/2022
Havering,,Wykeham Hall,100023211660,E09000016,Market Place,Havering,NA,Romford Town,E05000319,0.18259987004686565,551215.8601073995,51.57884602554836,188974.54010009766,Havering,Community centres,E09000016,11/27/2022
Havering,,Wennington Village Association,100021357962,E09000016,1a Church Lane Wennington, Rainham,NA,Rainham and Wennington,E05000318,0.21864609877864755,553957.5001221001,51.506346508596096,180988.8101195991,Havering,Community centres,E09000016,11/27/2022
