borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Islington,,Writers and Scholars Educational Trust (Index on Censorship),5300001787,E09000019,6-8 Amwell St,,,Clerkenwell,E05000370,-0.10847310863580012,531088.3767909216,51.52727965313077,182732.728599407,Islington,Archives,E09000019,11/27/2022
Islington,https://www.survivalinternational.org/,Survival International,5300018843,E09000019,6 Charterhouse Buildings,,,Bunhill,E05000367,-0.09828900921743923,531807.2110273987,51.5229243516096,182266.82121092,Islington,Archives,E09000019,11/27/2022
Islington,https://pen-international.org/,International PEN,5300018851,E09000019,9-10 Charterhouse Buildings ,Goswell Road,,Bunhill,E05000367,-0.09853053547654018,531790.2148279822,51.523009204037024,182275.8197581643,Islington,Archives,E09000019,11/27/2022
Islington,http://www.sog.org.uk/,Society of Genealogists,5300018857,E09000019,14 Charterhouse Buildings ,Goswell Road,,Bunhill,E05000367,-0.09855804917057791,531789.2145404107,51.52269490471264,182240.82638162945,Islington,Archives,E09000019,11/27/2022
Islington,https://www.hac.org.uk/home/,Honourable Artillery Company,5300019875,E09000019,Armoury House ,City Road,,Bunhill,E05000367,-0.08841060799345134,532492.0651284626,51.52301548170287,182294.79870996438,Islington,Archives,E09000019,11/27/2022
Islington,https://www.marx-memorial-library.org/,Marx Memorial Library,5300021024,E09000019,37a Clerkenwell Green,,,Clerkenwell,E05000370,-0.10579774333375344,531286.3261202018,51.52296493612978,182257.81961510144,Islington,Archives,E09000019,11/27/2022
Islington,https://www.corpssecurity.co.uk/,Corps of Commissionaires (Corps Security),5300024887,E09000019,85 Cowcross Street,,,Clerkenwell,E05000370,-0.10273366301136301,531507.2724368339,51.52003774334992,181937.88241560338,Islington,Archives,E09000019,11/27/2022
Islington,https://www.rss.org.uk/,Royal Statistical Society,5300031223,E09000019,12 Errol Street,,,Bunhill,E05000367,-0.09089616222437483,532321.1006946715,51.52252541643513,182235.81462165609,Islington,Archives,E09000019,11/27/2022
Islington,https://www.actiononhearingloss.org.uk/,Royal National Institute for the Deaf,5300033046,E09000019,Head Office,1- 3 Highbury Station Road,,Bunhill,E05000367,-0.08856532319578482,532477.0710900512,51.524483813905135,182457.76649335446,Islington,Archives,E09000019,11/27/2022
Islington,https://www.mencap.org.uk/,Mencap,5300036426,E09000019,123 Golden Lane,,,Bunhill,E05000367,-0.09565435130295027,531987.1742659188,51.52387977400425,182377.79535570194,Islington,Archives,E09000019,11/27/2022
