borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Wandsworth,https://www.fosterandpartners.com/,Foster + Partners,121016628,E09000032,Riverside ,22 Hester Road,,St. Mary's Park,E05000622,-0.16838131720367577,527063.222936584,51.48076693664933,177455.67939453927,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,NA,Chelsea and Westminster Hospital Archives,217033201,E09000020,369 Fulham Road,,,Stanley,E05009405,-0.18143497565398584,526147.4068857462,51.48425238850248,177820.5914974559,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.rbkc.gov.uk/subsites/museums/leightonhousemuseum1.aspx,Leighton House Museum,217039506,E09000020,12 Holland Park Road,,,Holland,E05009397,-0.20309513475435398,524604.7506676549,51.49858781604862,179377.27287544444,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,,Commonwealth Institute,217044656,E09000020,Commonwealth Resources Centre,Kensington High Street,,Holland,E05009397,-0.2001590274186053,524804.9791710794,51.49987442909856,179525.32724944752,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,http://www.heythrop.ac.uk/,London University: Heythrop College,217046014,E09000020,Kensington Square,,,Queen's Gate,E05009401,-0.19024769953888385,525493.8681612961,51.49946247904268,179496.49103111814,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.waterman.co.uk/,"Offer, Watermann & Co",217051629,E09000020,11 Langton Street,,,Stanley,E05009405,-0.18082161803914903,526195.4028561391,51.482291478761496,177603.6363626644,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://sculptors.org.uk/,Royal British Society of Sculptors,217060814,E09000020,108 Old Brompton Road,,,Courtfield,E05009393,-0.1795095414648897,526260.3770259365,51.4917313864425,178655.42947778554,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.hrp.org.uk/kensington-palace/explore/the-queen-s-state-apartments/#gs.cTpT3ik,State Apartments and Court Dress Collection: Kensington Palace,217064431,E09000020,Kensington Palace,,,Campden,E05009390,-0.1880218178291348,525632.5389164753,51.50519933571256,180138.14178036194,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.nam.ac.uk/collections/templer-study-centre,National Army Museum Templer Study Centre,217075883,E09000020,Royal Hospital Road Chelsea,,,Royal Hospital,E05009403,-0.16033743746956552,527606.3591405223,51.48622896771741,178076.9494973641,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.chelseaphysicgarden.co.uk/,Chelsea Physic Garden,217102618,E09000020,66 Royal Hospital Road,,,Royal Hospital,E05009403,-0.16225154940184489,527478.1184919445,51.48457384033123,177889.59500447602,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.rbkc.gov.uk/libraries/your-library/find-library/chelsea-library,Chelsea Library,217105143,E09000020,Old Town Hall ,Kings Road,,Royal Hospital,E05009403,-0.16817033300282228,527059.2068579425,51.48747215547887,178201.52840377903,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.rbkc.gov.uk/subsites/museums/18staffordterrace1.aspx,Eighteen Stafford Terrace: Sambourne Family Archive,217107937,E09000020,18 Stafford Terrace,,,Campden,E05009390,-0.19684068131462096,525033.660242487,51.500452227569234,179595.23677577561,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.vam.ac.uk/info/national-art-library/,"National Art Library, Victoria & Albert Museum",217108016,E09000020,Cromwell Road,,,Brompton & Hans Town,E05009389,-0.17209803311410066,526760.4066595054,51.496902278884406,179243.154146905,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,http://www.vam.ac.uk/page/d/drawings/,"Victoria & Albert Museum, Department of Designs, Prints and Drawings",217108016,E09000020,Cromwell Road,,,Brompton & Hans Town,E05009389,-0.17209803311410066,526760.4066595054,51.496902278884406,179243.154146905,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.architecture.com/,Royal Institute of British Architects,217108016,E09000020,British Architectural Library Drawings and Archives Collections Victoria and Albert Museum ,Cromwell Road,,Brompton & Hans Town,E05009389,-0.17209803311410066,526760.4066595054,51.496902278884406,179243.154146905,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,http://www.vam.ac.uk/content/articles/v/the-v-and-a-textiles-and-fashion-collection/,"Victoria & Albert Museum, Department of Textiles and Dress",217108016,E09000020,Cromwell Road,,,Brompton & Hans Town,E05009389,-0.17209803311410066,526760.4066595054,51.496902278884406,179243.154146905,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,http://www.nhm.ac.uk/our-science/departments-and-staff/library-and-archives.html,Natural History Museum Library and Archives,217110763,E09000020,Cromwell Road ,South Kensington,,Brompton & Hans Town,E05009389,-0.1768677216067732,526430.3483065348,51.49656438319557,179197.32889027777,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,http://www.armenianinstitute.org.uk/,Armenian Institute,217116743,E09000020,Armenian Church Hall, Iverna Gardens,,Abingdon,E05009388,-0.1933318626925314,525279.6049646325,51.49955292192053,179501.25752057333,Kensington and Chelsea,Archives,E09000020,11/27/2022
Kensington and Chelse,https://www.rbkc.gov.uk/leisure-and-culture/culture/arts-services,Kensington and Chelsea Libraries and Arts Service,217125485,E09000020,Central Library ,Phillimore Walk,,Campden,E05009390,-0.19440609453588437,525199.9459512125,51.501418894508696,179706.87776128954,Kensington and Chelsea,Archives,E09000020,11/27/2022
City of Westminster,https://www.royalcommission1851.org/,Royal Commission for the Exhibition of 1851,10033539795,E09000033,Sherfield Building,Imperial College,,Knightsbridge and Belgravia,E05000637,-0.17763077676066355,526371.3651342295,51.498743477803814,179438.28263730777,Kensington and Chelsea,Archives,E09000020,11/27/2022
City of Westminster,http://whoami.sciencemuseum.org.uk/about-us/collections-and-research/collections/library-collections/library-catalogue,Science Museum Library (Documentation),10033558383,E09000033,Imperial College Road,,,Knightsbridge and Belgravia,E05000637,-0.17822393392970698,526331.373153279,51.49832104403233,179390.29123559513,Kensington and Chelsea,Archives,E09000020,11/27/2022
City of Westminster,http://www.gbcc.org.uk/,Great Britain - China Centre,100023000000,E09000033,15 Belgrave Square,,,Knightsbridge and Belgravia,E05000637,-0.15516032346511782,527931.023210243,51.498608006836996,179462.29549024883,Kensington and Chelsea,Archives,E09000020,11/27/2022
City of Westminster,https://www.eca.co.uk/,Electrical Contractors' Association,100023000000,E09000033,ESCA House ,34 Palace Court,,Lancaster Gate,E05000638,-0.19205521869187162,525334.6177995806,51.51178124868167,180863.0017473941,Kensington and Chelsea,Archives,E09000020,11/27/2022
