borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Kingston upon Thames,www.ascstudios.co.uk,Hawks Road,10025170552,E09000021,47-51 Hawks Road,Kingston Upon Thames,,Norbiton,E05000409,-0.2932248308933918,518584.58967363427,51.40818644360322,169176.6535692623,Kingston upon Thames,Artists workspaces,E09000021,11/27/2022
Kingston upon Thames,,Odeon Kingston,000128004717,E09000021,,Clarence Street,,Grove,E05000408,-0.29778070182442573,518370.0001221001,51.41118850559655,169448.00012210011,Kingston upon Thames,Cinemas,E09000021,11/27/2022
Kingston upon Thames,http://www.shirazm.org.uk/norbiton/index.php,Shiraz Mirza Hall (Norbiton),100023059174,E09000021,76 Coombe Road,Kingston Upon Thames,NA,Coombe Hill,E05000406,-0.2814329821569845,519505.0001221001,51.41184924533115,169548.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,https://venuesinkingston.co.uk/venue/tudor-hall/,Tudor Hall,128039996,E09000021,Tudor Drive,Kingston Upon Thames,NA,Tudor,E05000415,-0.29594286504915013,518460.0001221001,51.42580323322705,171076.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,http://www.shirazm.org.uk/new-malden/index.php,Shiraz Mirza Hall (Manor Park Hall),128041830,E09000021,Manor Park Hall,316 Malden Road,Kingston Upon Thames,St. James,E05000411,-0.24957036350162495,521787.0001221001,51.38680713262569,166816.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,https://www.kingston.gov.uk/info/200203/hook_centre_and_music_studio/293/about_the_hook_centre,Hook Centre,100023067317,E09000021,Hook Road,Kingston Upon Thames,NA,Chessington North and Hook,E05000404,-0.30447707972785787,518017.0001221001,51.36739708817156,164568.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,https://mayocentre.org.uk/,Richard Mayo Hall,128042699,E09000021,11 Eden Street,Kingston Upon Thames,NA,Grove,E05000408,-0.3032529827228475,517996.0001221001,51.408659749993234,169158.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,http://www.graham-spicer-institute.org.uk/images/e.png,Graham Spicer Institute,128006114,E09000021,Dukes Avenue,Kingston Upon Thames,NA,Beverley,E05000402,-0.25384757759568205,521448.0001221001,51.40244785858636,168548.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,,Canbury Pavillion,128029983,E09000021,Lower Ham Road,Kingston Upon Thames,NA,Tudor,E05000415,-0.3044290210595023,517894.0001221001,51.41651911591624,170030.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,http://www.milaapcentrekingston.org.uk/,Milapp Day Centre,128041918,E09000021,142 Acre Road,Kingston Upon Thames,NA,Canbury,E05000403,-0.29332356485051836,518666.0001221001,51.41656475571967,170053.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,https://www.kingston.gov.uk/info/200203/hook_centre/434/hook_centre_community_hall_and_meeting_room/4,Hook Centre Community Hall,10091803267,E09000021,Hook Road,Kingston Upon Thames,NA,Chessington North and Hook,E05000404,-0.30447707972785787,518017.0001221001,51.36739708817156,164568.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,http://www.kingstonworkingmensclub.com/,Kingston Working Men's Club & Institute,100023059084,E09000021,25 Old London Road,Kingston Upon Thames,NA,Grove,E05000408,-0.29788463865307613,518364.0001221001,51.410713358732934,169395.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,https://www.kingston.gov.uk/info/200208/libraries/301/branch_surbiton_library/4,Surbiton Library Hall,128006816,E09000021,Ewell Rd, Surbiton,NA,Berrylands,E05000401,-0.2963263168162036,518520.0001221001,51.392280943882874,167348.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,https://www.kingston.gov.uk/info/200208/libraries/299/branch_new_malden_library/4,New Malden Library Hall,128010803,E09000021,Kingston Rd, New Malden,NA,Beverley,E05000402,-0.2592351938962843,521083.0001221001,51.39877770255543,168131.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,,The Guildhall,128008649,E09000021,Kingston UNISON,107 Guildhall 1,Kingston upon Thames,Grove,E05000408,-0.3036713272548647,517969.0001221001,51.40784739658339,169067.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,http://thefircrofttrust.org/,The Fircroft Trust,100023066178,E09000021,The Fircroft Trust,Fircroft,96 Ditton Road,Surbiton Hill,E05000413,-0.30249137410217924,518119.0001221001,51.381461250823506,166135.00012210011,Kingston upon Thames,Community centres,E09000021,11/27/2022
Kingston upon Thames,http://www.stjohnskingston.co.uk,St John's Church,128008048,E09000021,Grove Ln,,,Grove,E05000408,-0.30075420721479335,518074.22863535,51.403085419888846,168597.34220355743,Kingston upon Thames,Dance performance venues,E09000021,11/27/2022
