borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Lewisham,https://www.lewisham.gov.uk/inmyarea/history/archives/Pages/default.aspx,Lewisham Local History and Archives Centre,10023235063,E09000023,Lewisham Library ,199-201 Lewisham High Street,,Lewisham Central,E05000448,-0.011657206843843812,538007.6864574349,51.459274496733315,175350.05983259476,Lewisham,Archives,E09000023,11/27/2022
Lewisham,https://www.iriedancetheatre.org/,IRIE! dance theatre,10093394257,E09000023,Moonshot Centre ,Fordham Park ,Angus Street,New Cross,E05000449,-0.0353019716561354,536310.1283936375,51.477856808382086,177371.67910076567,Lewisham,Archives,E09000023,11/27/2022
Lewisham,https://www.gold.ac.uk/make/,MAKE Resource Centre Collections (formerly the Women's Art Library),100023000000,E09000023,London University: Goldsmiths College The Library Lewisham Way ,,New Cross,Brockley,E05000439,-0.03537519941363767,536316.117416653,51.474143961065394,176958.75377573958,Lewisham,Archives,E09000023,11/27/2022
Lewisham,https://www.gold.ac.uk/library/collections/special-collections/,London University: Goldsmiths Library: Special Collections and Archives,100023000000,E09000023,Goldsmiths University of London ,New Cross,,Brockley,E05000439,-0.03537519941363767,536316.117416653,51.474143961065394,176958.75377573958,Lewisham,Archives,E09000023,11/27/2022
Lewisham,https://www.horniman.ac.uk/,Horniman Museum and Gardens,100023000000,E09000023,100 London Road,,,Forest Hill,E05000444,-0.060736392436844804,534652.5644211494,51.44113086862395,173241.4840488588,Lewisham,Archives,E09000023,11/27/2022
Lewisham,https://www.maryevans.com/collect.php,Illustrated London News Picture Library,100023000000,E09000023,Mary Evans Picture Library ,59 Tranquil Vale,Blackheath,Blackheath,E05000438,0.006662793064093619,539257.3580569188,51.46670535019201,176210.9253521387,Lewisham,Archives,E09000023,11/27/2022
Lewisham,https://missiology.org.uk/societies_bcms.php,Bible Churchmens Missionary Society,100023000000,E09000023,BCMS Crosslinks, 251 Lewisham Way,,Brockley,E05000439,-0.026960722085345355,536914.9614615274,51.46925434038013,176430.84002588544,Lewisham,Archives,E09000023,11/27/2022
Lewisham,https://www.haaf.org.uk/,Haberdashers' Aske's Federation Trust: Hatcham College,200001000000,E09000023,135 Pepys Road,,,Telegraph Hill,E05000453,-0.04272219355445505,535825.2276183214,51.46768410717051,176226.8998916275,Lewisham,Archives,E09000023,11/27/2022
Lewisham,http://www.lewishamarthouse.org.uk,,100000000000,E09000023,140 Lewisham Way,,,Brockley,E05000439,-0.030608276519682055,536655.0312964297,51.471482983336436,176671.79910506925,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,aptstudios.org,,100000000000,E09000023,Harold Wharf,6 Creekside,,New Cross,E05000449,-0.02149665324236014,537272.8960373048,51.47640150768818,177235.68415437313,Lewisham,Artists workspaces,E09000023,11/27/2022
Greenwich,www.acava.org,Norman House,10010217066,E09000011,Norman House,125 Greenwich High Rd,,Greenwich West,E05000222,-0.017176848793958206,537571.8244742319,51.476724195396926,177279.67129321204,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,www.arthub.org.uk,Art Hub Deptford,10093391623,E09000023,5-9 Creekside,,,New Cross,E05000449,-0.020774388991739758,537320.8872893605,51.47711773617666,177316.6679427282,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,www.cockpitarts.com,,200000000000,E09000023,Cockpit Arts Deptford,18 - 22 Creekside,,New Cross,E05000449,-0.020651416477554294,537324.8920639949,51.47862646579653,177484.63614035427,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,www.theoldpolicestation.org/,The Old Police Station,100000000000,E09000023,114 Amersham Vale,,,New Cross,E05000449,-0.03186368673615841,536544.0790680903,51.47944481587567,177554.64035335404,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,www.acme.org.uk,Childers Street,200001000000,E09000023,165 Childers Street,Deptford,,Evelyn,E05000443,-0.034814615239131104,536331.1358855653,51.48215624226716,177850.59186877165,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,www.artistic-spaces.co.uk,"Unit 10, Elizabeth Trading Estate",10093390732,E09000023,Juno Way,South Bermondsey,,New Cross,E05000449,-0.0446817498714416,535644.2910910617,51.48279792331752,177903.59934650053,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,ceramicsstudio.coop,JUNO ENTERPRISE CENTRE,100023569547,E09000023,"Unit 14 and 17, Block C",Juno Way,,New Cross,E05000449,-0.04615415170099939,535539.316908641,51.48373076482892,178004.583708896,Lewisham,Artists workspaces,E09000023,11/27/2022
Greenwich,www.acava.org,Borthwick St,10010244675,E09000011,5 Borthwick St,,,Greenwich West,E05000222,-0.02477897598328046,537019.3362546212,51.484969015206936,178182.05292630137,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,http://www.v22collection.com,Forest Hill Library,100023257020,E09000023,Dartmouth Road,Forest Hill,,Forest Hill,E05000444,-0.05618142973389783,534984.4903247632,51.43589344943565,172667.58412514476,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,http://www.v22collection.com,Louise House,10023226836,E09000023,Dartmouth Road,Forest Hill,,Forest Hill,E05000444,-0.05586321335401528,535006.4846935162,51.435933133270574,172672.58267527237,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,http://www.canvasandcream.com/,,100000000000,E09000023,18 London Road,,,Forest Hill,E05000444,-0.05471045063347464,535075.4593641883,51.439700008215794,173093.50138637744,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,http://www.whirledart.co.uk,,10093391224,E09000023,118 Stansted Road,,,Perry Vale,E05000450,-0.046393940083305885,535648.3115188954,51.441378194296185,173295.45167056896,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,Catford Dek,10023226829,E09000023,Old Town Hall,catford Road,,Rushey Green,E05000451,-0.020380851387899346,537443.8620802534,51.44529430145055,173779.36540194403,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,Leegate Studios,10093393751,E09000023,Leegate House,Burnt Ash Road,,Lee Green,E05000447,0.011887676950051856,539652.2962272676,51.45619314975248,175052.1868294187,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,http://www.v22collection.com,Ladywell Bridge,10023230358,E09000023,Vaults E1-E7,59 Ladywell Road,,Lewisham Central,E05000448,-0.01839909400882673,537546.8046178475,51.45683462540093,175066.10423254658,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,http://www.v22collection.com,Manor House,100000000000,E09000023,Manor House Library,34 Old Road,,Lee Green,E05000447,0.004509413029691234,539136.417467053,51.45731766994548,175163.14198034292,Lewisham,Artists workspaces,E09000023,11/27/2022
Lewisham,https://www.thealbany.org.uk/,The Albany ,100023569348,E09000023,Douglas Way,,,New Cross,E05000449,-0.027409246524924713,536857.9999720026,51.47787709615518,177388.66395419365,Lewisham,Arts centres,E09000023,11/27/2022
Lewisham,,Curzon Goldsmiths,100023238053,E09000023,Goldsmiths University of London,Richard Hoggart Building,"Lewisham Way, New Cross",Brockley,E05000439,-0.033785506133114394,536540.0001221001,51.473627896620656,176850.00012210011,Lewisham,Cinemas,E09000023,11/27/2022
Lewisham,,Deptford Cinema,100021951303,E09000023,,39 Deptford Broadway,,Brockley,E05000439,-0.02307427293373011,537283.0001221001,51.47387945328054,176898.00012210011,Lewisham,Cinemas,E09000023,11/27/2022
Lewisham,http://www.blackheath-gallery.co.uk/#,Blackheath Gallery,100023267656,E09000023,34a Tranquil Vale,NA,NA,Blackheath,E05000438,0.010547456658418577,539642.0001221001,51.46587876556246,176072.00012210011,Lewisham,Commercial galleries,E09000023,11/27/2022
Lewisham,http://www.bearspace.co.uk/#,Bearspace,100023280386,E09000023,152 Deptford High Street,NA,NA,Evelyn,E05000443,-0.024250769000243838,537186.0001221001,51.47898074962246,177463.00012210011,Lewisham,Commercial galleries,E09000023,11/27/2022
Lewisham,http://www.thereapcentre.com/ ,Orchard Community Centre,10093390833,E09000023,Columbine Way, Lewisham Road, London,Lewisham Central,E05000448,-0.010974526275960185,538145.0001221001,51.46665065158294,176117.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,,WG Grace Community Centre,100023283496,E09000023,1 Lions Close,Lewisham,NA,Grove Park,E05000445,0.03629906557138305,541543.0001221001,51.42945883673357,172072.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,,Lewington Centre,10023232830,E09000023,9 Eugenia Road,Lewisham,NA,Evelyn,E05000443,-0.04911355349718679,535430.0001221001,51.48903836852962,178535.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,,Leander Hall,100023281185,E09000023,Ship Street,Lewisham,NA,Brockley,E05000439,-0.023986258427407956,537225.0001221001,51.47210507440575,176699.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,https://www.lewisham.gov.uk/inmyarea/Pages/venue-detail.aspx?directoryid=3551,Haskins Community Hall,10023226892,E09000023,Bromley Road,Lewisham,NA,Whitefoot,E05000454,-0.015061511232514221,537970.0001221001,51.43053792392598,172094.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,www.greenwichwest.org.uk,Newstead Community Hub ,100022020950,E09000023,33 Wildwood Close, Lee Green, Newstead,Lee Green,E05000447,0.0149969155546594,540012.0001221001,51.44594402304894,173864.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,https://www.nhhg.org.uk/communities/spaces-for-hire/conrad-court/,Conrad Court,10090786135,E09000023,Conrad Court,1-78 Cary Avenue,London,Evelyn,E05000443,-0.03563095015883364,536360.0001221001,51.49100771352152,178779.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,https://www.lewisham.gov.uk/inmyarea/Pages/venue-detail.aspx?directoryid=3556,Langthorne Court Community Hall,100023680030,E09000023,Langthorne Community Hall,Bromley Road,Bromley,Whitefoot,E05000454,-0.010449263982326035,538299.0001221001,51.42774357670236,171792.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,http://thegreenman.com/,The Green Man,100021938277,E09000023,Phoenix Community Housing,The Green Man,355 Bromley Road,Whitefoot,E05000454,-0.009242574337577412,538385.0001221001,51.427039552843716,171716.00012210011,Lewisham,Community centres,E09000023,11/27/2022
Lewisham,http://www.bowarts.org/studios/catford-dek-old-town-hall,Bow Arts,10023230305,E09000023,Catford Dek - Old Town Hall,2th Floor Old Town Hall,Catford Road,,,-0.019715725887792693,537604.0001221001,51.44468296247168,173658.00012210011,Lewisham,Creative workspaces,E09000023,11/27/2022
Lewisham,www.artistic-spaces.co.uk,Artistic Spaces Ltd,10093394512,E09000023,Elizabeth Tower,Unit 13,Elizabeth Tower,,,-0.04292267772145467,535881.0001221001,51.4818841285766,177751.00012210011,Lewisham,Creative workspaces,E09000023,11/27/2022
Lewisham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,Bow Arts,100023278218,E09000023,Catford Dek,Old Town Hall,Catford Road,,,-0.019715725887792693,537604.0001221001,51.44468296247168,173658.00012210011,Lewisham,Creative workspaces,E09000023,11/27/2022
Lewisham,www.cockpitarts.com,Cockpit Arts,100023280408,E09000023,Cockpit Arts,Cockpit Arts Deptford,18 - 22 Creekside,,,-0.019060092353894366,537549.0001221001,51.478110700225876,177376.00012210011,Lewisham,Creative workspaces,E09000023,11/27/2022
Lewisham,,The Artworks,100023281198,E09000023,The Artwork Creekside,3 Creekside,,,,-0.020299451831322927,537469.0001221001,51.4760990500546,177150.00012210011,Lewisham,Creative workspaces,E09000023,11/27/2022
Lewisham,https://www.secondfloor.co.uk/,Second Floor Studios And Arts,100023569428,E09000023,Second Floor Studios And Arts,Deptford Foreshore,,,,-0.029077129224753806,536820.0001221001,51.48930583827672,178602.00012210011,Lewisham,Creative workspaces,E09000023,11/27/2022
Lewisham,www.artistic-spaces.co.uk,Artistic Spaces Ltd,100023680112,E09000023,"Unit 10, Elizabeth Trading Estate",Juno Way,South Bermondsey,,,-0.04317323082232518,535861.0001221001,51.48276070047185,177848.00012210011,Lewisham,Creative workspaces,E09000023,11/27/2022
Lewisham,https://www.broadwaytheatre.org.uk,The Broadway Theatre,10023226829,E09000023,34 Catford Broadway,,,Rushey Green,E05000451,-0.020380851387899346,537443.8620802534,51.44529430145055,173779.36540194403,Lewisham,Dance performance venues,E09000023,11/27/2022
Greenwich,http://www.blackheathhalls.com,Blackheath Halls,100023269695,E09000011,23 Lee Road,,,Blackheath Westcombe,E05000215,0.009627334448283693,539470.3121443274,51.464379413335784,175957.98717805138,Lewisham,Dance performance venues,E09000023,11/27/2022
Lewisham,http://www.thealbany.org.uk,Albany Centre and Theatre,100023280749,E09000023,1A Douglas Way,,,New Cross,E05000449,-0.027409246524924713,536857.9999720026,51.47787709615518,177388.66395419365,Lewisham,Dance performance venues,E09000023,11/27/2022
Lewisham,https://www.rivoliballroom.com,Rivoli Ballroom,10090782761,E09000023,350 Brockley Road,Crofton Park,,Crofton Park,E05000441,-0.03719375110440745,536246.1319037076,51.45526233825693,174856.1423543332,Lewisham,Dance performance venues,E09000023,11/27/2022
Lewisham,http://www.thealbany.org.uk/hireus/36/Room-Hire,The Albany Rehearsal Space,10023234998,E09000023,9 Giffin St,,,New Cross,E05000449,-0.02427712296089753,537075.9476716267,51.47770742399345,177375.6618465557,Lewisham,Dance rehearsal studios,E09000023,11/27/2022
Lewisham,,Hither Green Dance Studio,100023235751,E09000023,174-176 Hither Green Lane,,,Lewisham Central,E05000448,-0.0071136963636396775,538345.625802677,51.45187720895214,174536.2413803909,Lewisham,Dance rehearsal studios,E09000023,11/27/2022
Lewisham,www.thehardy.co.uk/kemble-house,Kemble House,100023255437,E09000023,44 Kemble Road,,,Perry Vale,E05000450,-0.046154476443173165,535663.3065336985,51.44193176030421,173357.439582709,Lewisham,Dance rehearsal studios,E09000023,11/27/2022
Lewisham,http://www.thelondontheatre.com,The London Theatre,100023238425,E09000023,443 New Cross Road,,,New Cross,E05000449,-0.030190591462119148,536671.0379679154,51.47582853266741,177155.71046314185,Lewisham,Dance rehearsal studios,E09000023,11/27/2022
Lewisham,http://twiststudios.co.uk,Twist Class Studios,100023569253,E09000023,99a Dartmouth Rd,,,Forest Hill,E05000444,-0.05496683528766455,535068.468838304,51.43603516130204,172685.57879135775,Lewisham,Dance rehearsal studios,E09000023,11/27/2022
Lewisham,https://www.broadwaytheatre.org.uk,The Broadway Theatre,10023226829,E09000023,34 Catford Broadway,,,Rushey Green,E05000451,-0.020380851387899346,537443.8620802534,51.44529430145055,173779.36540194403,Lewisham,Dance rehearsal studios,E09000023,11/27/2022
Greenwich,http://www.blackheathhalls.com,Blackheath Halls,100023269695,E09000011,23 Lee Road,,,Blackheath Westcombe,E05000215,0.009627334448283693,539470.3121443274,51.464379413335784,175957.98717805138,Lewisham,Dance rehearsal studios,E09000023,11/27/2022
