borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Merton,https://rmbf.org/,Royal Medical Benevolent Fund,48038818,E09000024,24 Kings Road,,,Trinity,E05000471,-0.20154477062166512,524923.8511499312,51.42115468122391,170770.86965501617,Merton,Archives,E09000024,11/27/2022
Merton,https://www.arts.ac.uk/colleges/wimbledon-college-of-arts,University of the Arts London: Wimbledon College of Art,48049311,E09000024,Main Building ,Merton Hall Road,,Dundonald,E05000459,-0.2121304495685617,524208.78071417206,51.41350764288871,169902.66712692985,Merton,Archives,E09000024,11/27/2022
Merton,http://www.wimbledonmuseum.org.uk/,Wimbledon Society Museum of Local History,48059798,E09000024,22 Ridgway ,Wimbledon,,Village,E05000472,-0.21620597440743947,523898.0744596247,51.423617868957265,171019.79989755864,Merton,Archives,E09000024,11/27/2022
Merton,http://www.rbna.org.uk/,Royal British Nurses Association,48085285,E09000024,The Princess Royal House TA Centre ,Stonecott Hill ,London Road,Lower Morden,E05000465,-0.21550615372713866,524056.87128359184,51.38293673548703,166498.13649908878,Merton,Archives,E09000024,11/27/2022
Merton,https://www.wimbledon.com/en_GB/atoz/library_research_enquiries.html,Wimbledon Lawn Tennis Museum: Kenneth Ritchie Wimbledon Library,48100056,E09000024,Church Road,,,Village,E05000472,-0.2144734000809185,523989.0208429113,51.43449072031368,172231.57977801008,Merton,Archives,E09000024,11/27/2022
Merton,www.acava.org,Lombard Rd,48130102,E09000024,21c Lombard Rd,,,Abbey,E05000455,-0.18942784801982757,525797.6822329254,51.409664275394015,169514.12907378958,Merton,Artists workspaces,E09000024,11/27/2022
Merton,www.acava.org,Phipps Bridge,48111562,E09000024,The Old Laundry,Phipps Bridge Rd,,Cricket Green,E05000458,-0.18222559833211502,526310.5821972764,51.40526325047764,169037.2308958255,Merton,Artists workspaces,E09000024,11/27/2022
Merton,www.acava.org,Cannizaro Park,48124885,E09000024,Potting Sheds,Cannizaro Park,,Village,E05000472,-0.23251121810812478,522764.4244982128,51.42373830980491,171005.71206791553,Merton,Artists workspaces,E09000024,11/27/2022
Wandsworth,www.wimbledonartstudios.co.uk,Wimbledon Art Studios,10008158183,E09000032,10 Riverside Yard,Earlsfield,,Earlsfield,E05000612,-0.18829386238988688,525813.631040212,51.43253345297907,172058.66845723032,Merton,Artists workspaces,E09000024,11/27/2022
Merton,,Odeon Wimbledon,000048105080,E09000024,,39 The Broadway,,Dundonald,E05000459,-0.20332929005076492,524916.0001221001,51.41909576082549,170484.00012210011,Merton,Cinemas,E09000024,11/27/2022
Merton,http://www.thecynthiacorbettgallery.com/#,The Cynthia Corbett Gallery,48022286,E09000024,15 Claremont Lodge,NA,NA,Raynes Park,E05000469,-0.22120956917731563,523684.0001221001,51.41499764802505,169998.00012210011,Merton,Commercial galleries,E09000024,11/27/2022
Merton,http://www.positive-network.co.uk/,Taylor Road Day Centre,48068539,E09000024,Taylor Road, Merton,NA,Colliers Wood,E05000457,-0.1669141068664881,527456.0001221001,51.4160855092399,170212.00012210011,Merton,Community centres,E09000024,11/27/2022
Merton,http://www.commonside.net/,Pollards Hill - (New Horizons),48065105,E09000024,South Lodge Avenue,Merton,NA,Pollards Hill,E05000467,-0.12947769330437514,530106.0001221001,51.39944911937163,168428.00012210011,Merton,Community centres,E09000024,11/27/2022
Merton,http://www.nemca.org.uk/,North East Mitcham Community Centre,48075257,E09000024,49 Woodland Way,Merton,NA,Graveney,E05000461,-0.15225867131763085,528473.0001221001,51.41677268751773,170314.00012210011,Merton,Community centres,E09000024,11/27/2022
Merton,http://www.southmitchamcommunity.org.uk/,South Mitcham Community Centre,48081917,E09000024,Haslemere Avenue,Merton,NA,Cricket Green,E05000458,-0.1803690457220967,526547.0001221001,51.40650113426595,169123.00012210011,Merton,Community centres,E09000024,11/27/2022
Merton,https://directories.merton.gov.uk/kb5/merton/directory/service.page?id=ExWbAG6gaDE&familychannel=0,Colliers Wood Community Centre,48082185,E09000024,66-72 High Street Collier'S Wood,Merton,NA,Colliers Wood,E05000457,-0.1746517632453111,526907.1701049954,51.42000772891283,170634.68011479825,Merton,Community centres,E09000024,11/27/2022
Merton,,Newminster Road,48100193,E09000024,33 Newminster Road,Merton,NA,Ravensbury,E05000468,-0.18340651592561535,526387.0001221001,51.387913396348964,167051.00012210011,Merton,Community centres,E09000024,11/27/2022
Merton,http://www.southwimbledoncommunity.com/,South Wimbledon Community Centre,48130927,E09000024,78 Victory Road,Merton,NA,Abbey,E05000455,-0.18653070878234587,526088.4000854939,51.41744550636326,170329.28009029478,Merton,Community centres,E09000024,11/27/2022
