borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Newham,http://www.friar.org/our-heritage,"Friars Minor, English Province Archives",46068665,E09000025,The Friary ,58 St Antony's Road ,Forest Gate,Green Street West,E05000486,0.02490609943161514,540300.2354927135,51.539512615586844,184340.30559973238,Newham,Archives,E09000025,11/27/2022
Newham,http://www.friar.org/our-heritage,Franciscan Archives English Province,46068665,E09000025,Franciscan Friary ,56 St Antony's Road ,Forest Gate,Green Street West,E05000486,0.02490609943161514,540300.2354927135,51.539512615586844,184340.30559973238,Newham,Archives,E09000025,11/27/2022
Newham,https://www.newham.gov.uk/Pages/Services/Local-history-and-archives.aspx,Newham Archive and Local Studies Library,46101428,E09000025,Stratford Library ,3 The Grove,,Stratford and New Town,E05000492,0.004355963044646293,538865.6384807543,51.54277052430083,184663.29691231257,Newham,Archives,E09000025,11/27/2022
Newham,https://www.mind.org.uk/,Mind for Better Mental Health,10008984107,E09000025,15-19 Broadway ,Stratford,,Stratford and New Town,E05000492,0.0010865137530722251,538646.7040679413,51.54023648405224,184375.3669434986,Newham,Archives,E09000025,11/27/2022
Newham,https://www.britannica.com/topic/Christian-democracy,Movement for Christian Democracy,10008988833,E09000025,Mayflower Family Centre ,Vincent Street,,Canning Town South,E05000478,0.013149882946581122,539559.4773650828,51.5152456856087,181619.88448285405,Newham,Archives,E09000025,11/27/2022
Newham,https://www.uel.ac.uk/discover/library,University of East London: Library and Learning Centre,10008997988,E09000025,Library and Learning Service: Archives University of East London Docklands Campus ,4-6 University Way,,Beckton,E05000475,0.06478640895300126,543165.5365149075,51.507485969948796,180856.9683926202,Newham,Archives,E09000025,11/27/2022
Newham,http://www.stratfordeast.com/,"Theatre Royal, Stratford East",10009003230,E09000025,Gerry Raffles Square,,,Stratford and New Town,E05000492,0.0010008812952531942,538633.7047774503,51.54255806288698,184633.3104615531,Newham,Archives,E09000025,11/27/2022
Newham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,R>A>W Studios,10012839984,E09000025,"Norton Quays,",Royal Albert Wharf,,Beckton,E05000475,0.07492492514758721,543872.4519553822,51.506360870510306,180751.78405895858,Newham,Artists workspaces,E09000025,11/27/2022
Newham,www.acava.org,Flying Angel,10023998099,E09000025,287 Victoria Dock Rd,,,Custom House,E05000479,0.02804459169527561,540608.1909213747,51.51019552210415,181086.9205468282,Newham,Artists workspaces,E09000025,11/27/2022
Newham,https://www.throughthereddoor.org/get-in-touch/,REAR OF 120,10008987682,E09000025,120 High Street South,,,East Ham South,E05000482,0.05598330190278333,542495.6832288227,51.52640867372081,182943.52142419777,Newham,Artists workspaces,E09000025,11/27/2022
Newham,www.artcoreint.net,Napier Works,10008994852,E09000025,57-63 Napier Rd,,,Wall End,E05000493,0.0619462856062327,542895.5725593097,51.53075546744393,183438.42392329947,Newham,Artists workspaces,E09000025,11/27/2022
Newham,www.acme.org.uk,Warton House,10093475501,E09000025,150 Stratford High Street,Stratford,,Stratford and New Town,E05000492,-0.006814131670056295,538115.8477916863,51.53466961901537,183741.49786891637,Newham,Artists workspaces,E09000025,11/27/2022
Newham,www.acme.org.uk,Rowse Close,46250199,E09000025,1 and 3a Rowse Close,Stratford,,Stratford and New Town,E05000492,-0.007261892628809114,538073.8558016294,51.53828330256122,184142.41141989996,Newham,Artists workspaces,E09000025,11/27/2022
Newham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,Stratford Studios,10012838724,E09000025,375 High Street,Stratford,,Stratford and New Town,E05000492,-0.0003726850338298428,538549.7320892648,51.538858523134856,184219.40182453726,Newham,Artists workspaces,E09000025,11/27/2022
Newham,www.bowarts.org    www.artiststudiofinder.org   www.londonsartistquarter.org,Old Manor Park Library,10009001282,E09000025,835 Romford Road,Newham,,Little Ilford,E05000487,0.05375444324260445,542257.6628371078,51.55312931813055,185909.88363472832,Newham,Artists workspaces,E09000025,11/27/2022
Newham,www.createlondon.org,Old Manor Park Library,10009001282,E09000025,835 Romford Road,,,Little Ilford,E05000487,0.05375444324260445,542257.6628371078,51.55312931813055,185909.88363472832,Newham,Artists workspaces,E09000025,11/27/2022
Newham,https://stratford-circus.com/,Stratford Circus Arts Centre ,10008996899,E09000025,Theatre Square,,,Stratford and New Town,E05000492,0.0017436141571047386,538684.7104558783,51.542716602881285,184652.34545708826,Newham,Arts centres,E09000025,11/27/2022
Newham,,Showcase Newham,010008989589,E09000025,,Jenkins Ln,,Beckton,E05000475,0.08281314302185623,544471.0001221001,51.52582908332895,182878.00012210011,Newham,Cinemas,E09000025,11/27/2022
Newham,,Stratford East Picturehouse,010008985556,E09000025,,Gerry Raffell Square,Salway Road,Stratford and New Town,E05000492,0.003107908916422592,538892.0001221001,51.54254280796875,184582.00012210011,Newham,Cinemas,E09000025,11/27/2022
