borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Hammersmith and Fulha,https://www.rsh-p.com/,Rogers Stirk Harbour + Partners,34024755,E09000013,Thames Wharf ,Rainville Road,,Fulham Reach,E05000255,-0.22429400856088164,523174.0506693176,51.48362317408272,177677.57436903525,Richmond upon Thames,Archives,E09000027,11/27/2022
Richmond upon Thames,https://www.orleanshousegallery.org/,Orleans House Gallery,100022000000,E09000027,Riverside,,,Twickenham Riverside,E05000531,-0.31907221610757974,516687.57551043516,51.447331685363174,173487.21406429866,Richmond upon Thames,Archives,E09000027,11/27/2022
Richmond upon Thames,https://www.stpaulsschool.org.uk/st-pauls/academic/library,St Paul's School Archives,100023000000,E09000027,Lonsdale Road,,,Barnes,E05000516,-0.23741773945341763,522252.1517694782,51.48769585182716,178108.3525052165,Richmond upon Thames,Archives,E09000027,11/27/2022
Richmond upon Thames,http://www.worldrugbymuseum.com/,World Rugby Museum,100023000000,E09000027,Twickenham Stadium ,Rugby Road,Twickenham,St. Margarets and North Twickenham,E05000527,-0.3417394080012988,515091.88933860266,51.455648837508754,174376.0219522355,Richmond upon Thames,Archives,E09000027,11/27/2022
Richmond upon Thames,https://www.stmarys.ac.uk/home.aspx,"Surrey University: St Mary's College, Strawberry Hill",100023000000,E09000027,Learning Resources Centre St Mary's College ,Strawberry Hill ,Waldegrave Road,South Twickenham,E05000529,-0.3358851130704332,515547.76199957833,51.43615141956274,172217.54943606607,Richmond upon Thames,Archives,E09000027,11/27/2022
Richmond upon Thames,http://www.osoarts.org.uk/,OSO Arts Centre,200002811148,E09000027,49 Station Rd,,,Mortlake and Barnes Common,E05000525,-0.24662565900925684,521654.04672705836,51.472300953024735,176381.36187912204,Richmond upon Thames,Arts centres,E09000027,11/27/2022
Richmond upon Thames,http://www.landmarkartscentre.org/,The Landmark Arts Centre ,10024344794,E09000027,Landmark Arts Centre ,Ferry Road ,Teddington,Teddington,E05000530,-0.32462690336409294,516350.5854177215,51.428086704633984,171338.7552636462,Richmond upon Thames,Arts centres,E09000027,11/27/2022
Richmond upon Thames,,Curzon Richmond,100023409354,E09000027,,Water Lane,Richmond,South Richmond,E05000528,-0.3052675940699394,517727.0001221001,51.45877360512079,174727.00012210011,Richmond upon Thames,Cinemas,E09000027,11/27/2022
Richmond upon Thames,,Odeon Richmond,010002264393,E09000027,,72 Hill Street,,South Richmond,E05000528,-0.3039960597591338,517815.0001221001,51.45889911099047,174743.00012210011,Richmond upon Thames,Cinemas,E09000027,11/27/2022
Richmond upon Thames,,Olympic Cinema,010070710572,E09000027,,117-123 Church Road,Barnes,Barnes,E05000516,-0.23918734577056752,522274.4401244968,51.47470645414513,176606.8900756985,Richmond upon Thames,Cinemas,E09000027,11/27/2022
Richmond upon Thames,https://www.richmond.gov.uk/services/hall_and_venue_bookings/bullen_hall_venue_hire,Bullen Hall,10070711005,E09000027,Bennet Close,Richmond Upon Thames,NA,Hampton Wick,E05000522,-0.3118964123193939,517383.0001221001,51.41332630821677,169663.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://www.richmond.gov.uk/services/hall_and_venue_bookings/sheen_lane_centre_venue_hire,Sheen Lane Centre,100023310512,E09000027,Sheen Lane,Richmond Upon Thames,NA,East Sheen,E05000517,-0.26564362397096974,520462.0001221001,51.46536187160767,175524.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://www.richmond.gov.uk/services/hall_and_venue_bookings/murray_park_hall_venue_hire,Murray Park Hall,100023401887,E09000027,111 Kneller Road,Richmond Upon Thames,NA,Whitton,E05000533,-0.35142698835546127,514531.0001221001,51.45464734042451,174195.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://www.facebook.com/pages/Crane-Community-Centre/249951148350529,Crane Community Centre,100023574496,E09000027,49-51 Medway, Twickenham,NA,West Twickenham,E05000532,-0.3490056184544476,514724.0001221001,51.4447564800519,173099.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://cambriancentre.org/,Cambrian Centre,10070727172,E09000027,1 Cambrian Road,Richmond Upon Thames,NA,South Richmond,E05000528,-0.29196875138953593,518665.0001221001,51.45328343995916,174138.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://www.whittoncommunity.org/,Whitton Community Centre,100023401561,E09000027,Percy Road,Richmond Upon Thames,NA,Heathfield,E05000523,-0.3628967179214056,513762.0001221001,51.443467402095365,172934.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://etnacentre.org/,East Twickenham Neighbourhood Association Community Centre,100023391806,E09000027,13 Rosslyn Road,Richmond Upon Thames,NA,Twickenham Riverside,E05000531,-0.3117093737599522,517290.0001221001,51.454693598383805,174263.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,http://www.deneestate.org/,DERA Social Centre,10070711141,E09000027,Chertsey Road,Richmond Upon Thames,NA,Whitton,E05000533,-0.3505158862888715,514610.0001221001,51.448375109781516,173499.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://exchangetwickenham.co.uk/venue-hire/,The Exchange,10091161250,E09000027,75 London Road,Richmond Upon Thames,NA,St. Margarets and North Twickenham,E05000527,-0.3296983903785703,516053.42010499537,51.44953356825431,173660.59008789808,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,www.whitehousehampton.co.uk,The White House Community Association,100023398296,E09000027,45 The Avenue,Richmond Upon Thames,NA,Hampton North,E05000521,-0.3757107296611901,512917.0001221001,51.42505629254454,170867.00012210011,Richmond upon Thames,Community centres,E09000027,11/27/2022
Richmond upon Thames,https://www.barnesgreencentre.org.uk/#,The Barnes Green Centre,200002811148,E09000027,49 Station Road,Richmond Upon Thames,NA,Mortlake and Barnes Common,E05000525,-0.24505737305762226,521874.62011719495,51.47178803519725,176272.6000976935,Richmond upon Thames,Community centres,E09000027,11/27/2022
Kingston upon Thames,http://www.rosetheatrekingston.org,Rose Theatre,128029778,E09000021,24-26 High Street,,,Grove,E05000408,-0.30759420135686405,517584.295137267,51.40864310437742,169204.2564966422,Richmond upon Thames,Dance performance venues,E09000027,11/27/2022
Richmond upon Thames,,Richmond Theatre,10002264543,E09000027,"15 Little Green,",,,South Richmond,E05000528,-0.30384478130276277,517707.3417477044,51.46212984710516,175156.86857790558,Richmond upon Thames,Dance performance venues,E09000027,11/27/2022
Richmond upon Thames,http://www.landmarkartscentre.org,Landmark Arts Centre,10024344794,E09000027,1 Cloister Close,,,Teddington,E05000530,-0.32462690336409294,516350.5854177215,51.428086704633984,171338.7552636462,Richmond upon Thames,Dance performance venues,E09000027,11/27/2022
Richmond upon Thames,http://www.studiokdance.co.uk,Studio K,10024346023,E09000027,2 Kew Road,,,South Richmond,E05000528,-0.3017064577548405,517852.3750352361,51.46347521061349,175309.8907231326,Richmond upon Thames,Dance performance venues,E09000027,11/27/2022
Richmond upon Thames,http://www.rambertschool.org.uk,Rambert School Studio Theatre,100023391009,E09000027,"St. Margaret's Drive,",Clifton Lodge,,St. Margarets and North Twickenham,E05000527,-0.32176460401029955,516463.60587068973,51.46182115614116,175093.86721492762,Richmond upon Thames,Dance rehearsal studios,E09000027,11/27/2022
Richmond upon Thames,https://www.rutc.ac.uk,Richmond Upon Thames College,100023401636,E09000027,Egerton Road,,,St. Margarets and North Twickenham,E05000527,-0.34153061629583387,515116.8786959902,51.451482429958936,173913.13383853523,Richmond upon Thames,Dance rehearsal studios,E09000027,11/27/2022
Kingston upon Thames,http://www.kingston.ac.uk,Kingston University,128008662,E09000021,53-57 High Street,,,Grove,E05000408,-0.3078099094169635,517576.3142336911,51.40591237878476,168900.30204904574,Richmond upon Thames,Dance rehearsal studios,E09000027,11/27/2022
Richmond upon Thames,,Kellys Dance Studio,100023057520,E09000027,12 Park Road,,,Hampton Wick,E05000522,-0.31240317438657655,517238.37496816914,51.41315474724162,169698.14386730053,Richmond upon Thames,Dance rehearsal studios,E09000027,11/27/2022
Richmond upon Thames,https://www.rhacc.ac.uk/contact-rhacc/contact-us,Richmond and Hillcroft Adult Community College,10070711497,E09000027,Parkshot ,,,South Richmond,E05000528,-0.3026747698410717,517782.7961603308,51.46437949470491,175408.8706994427,Richmond upon Thames,Dance rehearsal studios,E09000027,11/27/2022
Richmond upon Thames,http://www.studiokdance.co.uk,Studio K,10024346023,E09000027,2 Kew Road,,,South Richmond,E05000528,-0.3017064577548405,517852.3750352361,51.46347521061349,175309.8907231326,Richmond upon Thames,Dance rehearsal studios,E09000027,11/27/2022
Richmond upon Thames,http://www.amulette.co.uk/,Amulette Ltd,10070710083,E09000027,"Suite D, 8 The Causeway",Teddington,,Teddington,E05000530,-0.33431412852272163,515794.0001221001,51.42530264261025,170959.00012210011,Richmond upon Thames,Jewellery design,E09000027,11/27/2022
Richmond upon Thames,,Scintillate Limited,10024345225,E09000027,1c Becketts Place,Hampton Wick,,Hampton Wick,E05000522,-0.3076076553058291,517683.0001221001,51.4126259085244,169592.00012210011,Richmond upon Thames,Jewellery design,E09000027,11/27/2022
Richmond upon Thames,,SG Beads Limited,100023057519,E09000027,1 Park Road,Hampton Wick,,Hampton Wick,E05000522,-0.3101350761675401,517508.0001221001,51.412338616726544,169556.00012210011,Richmond upon Thames,Jewellery design,E09000027,11/27/2022
Richmond upon Thames,http://filmlondon.org.uk/twickenham-studios#,Twickenham Studios,100023391264,E09000027,"The Barons, Twickenham ",,Twickenham,St. Margarets and North Twickenham,E05000527,-0.3172761756300343,516902.0001221001,51.45519633283744,174310.00012210011,Richmond upon Thames,Large media production studios,E09000027,11/27/2022
Richmond upon Thames,,Hampton,100023398181,E09000027,Rosehill,Hampton,,Hampton,E05000520,-0.36873308724104026,513431.0001221001,51.413357843281126,169577.00012210011,Richmond upon Thames,Libraries,E09000027,11/27/2022
Richmond upon Thames,,Hampton Wick,10002251905,E09000027,Bennet Close,Hampton Wick,,Hampton Wick,E05000522,-0.311754654834997,517393.0001221001,51.41327030500837,169657.00012210011,Richmond upon Thames,Libraries,E09000027,11/27/2022
Richmond upon Thames,,Hampton Hill,10024344272,E09000027,High Street,Hampton Hill,,Fulwell and Hampton Hill,E05000518,-0.35437164592932363,514398.0001221001,51.42599969670321,171005.00012210011,Richmond upon Thames,Libraries,E09000027,11/27/2022
Richmond upon Thames,,Teddington,10002264575,E09000027,Waldegrave Road,Teddington,,Teddington,E05000530,-0.3328199987878258,515893.0001221001,51.42722398560931,171175.00012210011,Richmond upon Thames,Libraries,E09000027,11/27/2022
Richmond upon Thames,,Ham,100023395688,E09000027,Ham Street,Ham,,"Ham, Petersham and Richmond Riverside",E05000519,-0.3116718962683163,517337.0001221001,51.43737165832575,172337.00012210011,Richmond upon Thames,Libraries,E09000027,11/27/2022
