borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Sutton,https://arena.yourlondonlibrary.net/web/sutton/sutton-archives,London Borough of Sutton: Archives & Local Studies,5870113864,E09000029,Level 2A Central Library ,St Nicholas Way,,Sutton Central,E05000564,-0.19515461550298518,525529.8323365801,51.36207338892009,164213.2842052832,Sutton,Archives,E09000029,11/27/2022
Sutton,https://www.lqgroup.org.uk/services-for-residents/have-your-say/resident-involvement/landq-community-centres/community-cen,Wandle Valley Community Centre,5870115697,E09000029,2 Budge Lane,Sutton,NA,Wandle Valley,E05000571,-0.16294615706659898,527818.0001221001,51.38518403929647,166783.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,http://www.elmcroftcc.org.uk/,Elmcroft Community Centre,5870012360,E09000029,London Road,Sutton,NA,Nonsuch,E05000561,-0.22363182481048383,523630.0001221001,51.37253952005722,165273.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,,Shanklin Community & Children's Centre,5870029716,E09000029,Rookley Close,Sutton,NA,Belmont,E05000557,-0.19451485351383987,525726.0001221001,51.347082874498454,162492.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,http://thethomaswallcentre.co.uk/index4.html/index-4.html,Thomas Wall Centre,5870047224,E09000029,52 Benhill Avenue,Sutton,NA,Sutton Central,E05000564,-0.18919470798135365,526044.0001221001,51.36618432667909,164625.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,http://www.spanglefish.com/clockhousecommunityassociation/,Hillcrest Halls,5870074245,E09000029,Fryston Avenue,Sutton,NA,Carshalton South and Clockhouse,E05000559,-0.15258901073293854,528706.0001221001,51.32541056334565,160155.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,http://riversidecentre.org/,RIverside Community Centre,5870121708,E09000029,113 Culvers Avenue,Sutton,NA,The Wrythe,E05000568,-0.16306491526914654,527828.0001221001,51.37862948956756,166054.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,https://www.suttoncvs.org.uk/,Granfers Community Centre,5870040510,E09000029,73-79 Oakhill Road,Sutton,NA,Sutton North,E05000565,-0.18975949923592955,525994.0001221001,51.37007833320943,165057.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,,Rosehill Community Centre,5870117675,E09000029,Rosehill Community Centre, Rosehill Recreation Ground, Rose Hill,Sutton North,E05000565,-0.1927894335649897,525762.0001221001,51.37778773756496,165909.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,https://www.suttonhousingpartnership.org.uk/news-events/cuppa-with-a-copper-at-seven-acres-community-hub--763,Seven Acres Community Hub,5870066625,E09000029,Seven Acres Community Hub, 41-43 Seven Acres, Carshalton,The Wrythe,E05000568,-0.17219759646482982,527203.0001221001,51.37485108689604,165618.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,,Hill House,5870054793,E09000029,Hill House Community Centre,Hill House,Bishopsford Road,St. Helier,E05000562,-0.1817501167613713,526506.0001221001,51.386547642524874,166902.00012210011,Sutton,Community centres,E09000029,11/27/2022
Sutton,http://www.chatsworthstudio.com,The Chatsworth Studio,5870018940,E09000029,60 Upper Mulgrave Road,,,Cheam,E05000560,-0.21217208303627383,524364.2227592415,51.355140005379475,163413.44398764608,Sutton,Dance rehearsal studios,E09000029,11/27/2022
Sutton,https://www.better.org.uk,Sutton Dance Academy,5870040509,E09000029,Rose Hill Park,,,Sutton North,E05000565,-0.19562162951491355,525453.8137273047,51.37797068114996,165979.89379094553,Sutton,Dance rehearsal studios,E09000029,11/27/2022
Sutton,http://www.wallingtongirls.sutton.sch.uk,Wallington High School for Girls in Wallington,5870087159,E09000029,129 Woodcote Rd,,,Wallington South,E05000570,-0.14883639339492902,528793.0516734559,51.34799637457084,162728.63434707286,Sutton,Dance rehearsal studios,E09000029,11/27/2022
Croydon,http://thewarehousedancestudios.co.uk,The Warehouse Dance and Fitness Studio,10090384254,E09000008,4 Queensway,,,Waddon,E05011487,-0.11940139554576056,530804.5514729111,51.361242255956554,164253.4790665579,Sutton,Dance rehearsal studios,E09000029,11/27/2022
Sutton,http://www.mix-fits.org,Mix-Fits Ltd,5870002893,E09000029,Suite 10,Fitzroy House,,Nonsuch,E05000561,-0.24231921821654828,522313.0001221001,51.37873022238906,165930.00012210011,Sutton,Jewellery design,E09000029,11/27/2022
Sutton,,Library @ the Phoenix Centre,5870113095,E09000029,Mollison Drive,Wallington,,Beddington South,E05000556,-0.1316846713578861,530085.0001221001,51.35268985475445,163225.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,,Wallington Library,5870076858,E09000029,Shotfield,Wallington,,Wallington South,E05000570,-0.14922239237916213,528851.0001221001,51.3573212854283,163709.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,,Cheam Library,5870018019,E09000029,Church Road,Cheam,,Cheam,E05000560,-0.21512635482852016,524257.0001221001,51.35957626282733,163846.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,,Sutton Central Library,5870113864,E09000029,St Nicholas Way,Sutton,,Sutton Central,E05000564,-0.19358683253041048,525751.0001221001,51.36154843906423,164102.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,,Library @ Westcroft Centre,5870122731,E09000029,Westcroft Road,Carshalton,,Wallington North,E05000569,-0.15654479095951912,528313.0001221001,51.36742880904304,164820.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,,Worcester Park Library,5870109125,E09000029,Windsor Road,Worcester Park,,Nonsuch,E05000561,-0.2398070770394287,522491.0001221001,51.377532325566335,165801.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,,Library @ The Life Centre,5870120544,E09000029,Alcorn Close,Sutton,,Stonecot,E05000563,-0.20025358448474556,525241.0001221001,51.37837931393949,165962.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,,The Circle Library,5870120398,E09000029,Green Wrythe Lane,Carshalton,,Wandle Valley,E05000571,-0.17289752276515144,527126.0001221001,51.38506085967539,166752.00012210011,Sutton,Libraries,E09000029,11/27/2022
Sutton,https://whitehallmuseum.wordpress.com/,Whitehall Historic House,5870019263,E09000029,1 Malden Road,Cheam,Surrey,Cheam,E05000560,-0.21564278593406136,524223.0001221001,51.35885564319895,163765.00012210011,Sutton,Museums and public galleries,E09000029,11/27/2022
Sutton,http://www.sutton.gov.uk/,Little Holland House,5870060822,E09000029,40 Beeches Ave,Carshalton,NA,Carshalton South and Clockhouse,E05000559,-0.16900451727604776,527481.0001221001,51.35475421120119,163389.00012210011,Sutton,Museums and public galleries,E09000029,11/27/2022
Sutton,http://www.friendsofhoneywood.co.uk/,Honeywood Museum,5870115967,E09000029,Honeywood Walk,Carshalton,Surrey,Carshalton Central,E05000558,-0.16349688154737613,527837.0001221001,51.364606059078156,164494.00012210011,Sutton,Museums and public galleries,E09000029,11/27/2022
Sutton,,Pierreplay Records Ltd,5870028472,E09000029,199 Autumn Drive,Sutton,,Belmont,E05000557,-0.1952059741846559,525673.000122197,51.34886528928435,162689.00012159348,Sutton,Music (office based businesses),E09000029,11/27/2022
Sutton,,Blue Flowers Publishing Ltd,5870111201,E09000029,19 Jubilee Road,Sutton,,Cheam,E05000560,-0.21992234304915573,523932.000122197,51.356294606365765,163473.00012159348,Sutton,Music (office based businesses),E09000029,11/27/2022
Sutton,,More Time Records Ltd,5870019429,E09000029,74 Tabor Gardens,Sutton,,Cheam,E05000560,-0.21115617303603457,524541.000122197,51.356763627854875,163540.00012159348,Sutton,Music (office based businesses),E09000029,11/27/2022
Sutton,,Lontano Records Ltd,5870090187,E09000029,20 Onslow Gardens,Sutton,,Wallington South,E05000570,-0.1457237407972882,529098.000122197,51.356096759272226,163579.00012159348,Sutton,Music (office based businesses),E09000029,11/27/2022
Sutton,,Heads Up Music Ltd,5870018046,E09000029,58 High Street,Sutton,,Cheam,E05000560,-0.2129906165612713,524411.000122197,51.35761005586761,163631.00012159348,Sutton,Music (office based businesses),E09000029,11/27/2022
Sutton,,Rhirhi Records Ltd,5870049420,E09000029,12 Osborne Place,Sutton,,Sutton Central,E05000564,-0.18102374713973254,526624.000122197,51.36209149833193,164184.00012159348,Sutton,Music (office based businesses),E09000029,11/27/2022
Sutton,,Ncs Entertainment Ltd,5870015496,E09000029,22 Charminster Road,Sutton,,Worcester Park,E05000572,-0.22299155196299728,523651.000122197,51.38128062845207,166246.00012159348,Sutton,Music (office based businesses),E09000029,11/27/2022
Sutton,www.starcitystudios.co.uk,Starcity Studios,0,E09000029,2 Sutton Ct Rd Sutton,,,Sutton Central,E05000564,-0.18940992006410456,526046.000122197,51.35999998556114,163937.00012159348,Sutton,Music recording studios,E09000029,11/27/2022
Sutton,,Soundbox Studios,0,E09000029,Pandora House 41-45 Lind Rd,Sutton,,Sutton Central,E05000564,-0.18441719101022305,526382.000122197,51.36419471322597,164412.00012159348,Sutton,Music recording studios,E09000029,11/27/2022
Sutton,http://www.crunchstudios.co.uk/,Crunch Studios,5870119991,E09000029,Crunch Studio 39b,High Street,Sutton,Carshalton Central,E05000558,-0.15803348380081053,528215.000122197,51.365419644848224,164594.00012159348,Sutton,Music rehearsal studios,E09000029,11/27/2022
Sutton,www.musicstudioslondon.com,Music Studios London,5870054132,E09000029,43192 Rosehill Court Parade,St. Helier Avenue,Sutton,St. Helier,E05000562,-0.18782946505822418,526087.000122197,51.38511291319991,166732.00012159348,Sutton,Music rehearsal studios,E09000029,11/27/2022
,www.thesoundlounge.org.uk,The Sound Lounge,,,216-220 High Street,,,,,-0.1926506700931572,525803.8969182,51.36602486975543,164601.3355139941,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,,Claret Wine Bar,5870019859,E09000029,33 The Broadway,Sutton,,Cheam,E05000560,-0.21533634160787932,524246.000122197,51.35823940402489,163697.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,,Revolution,5870030304,E09000029,42795 High Street,Sutton,,Sutton West,E05000567,-0.19003930106079725,526005.000122197,51.3589754365327,163822.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,www.wallingtonarms.com,Wallington Arms,5870077343,E09000029,6 Woodcote Road,Sutton,,Wallington South,E05000570,-0.14858626595637497,528889.000122197,51.35955967045487,163959.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,,Bounce,5870122285,E09000029,57 High Street,Sutton,,Sutton Central,E05000564,-0.19087736192209873,525941.000122197,51.36103894895378,164050.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,,New Inn,5870048302,E09000029,16-18 Myrtle Road,Sutton,,Sutton Central,E05000564,-0.18549689050153836,526307.000122197,51.36413949421267,164404.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,,The Coach & Horses,5870077971,E09000029,10 High Street,Sutton,,Carshalton Central,E05000558,-0.1608033340102286,528025.000122197,51.36441989640947,164478.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,www.theracehorsepub.co.uk,Race Horse,5870063158,E09000029,17 West Street,Sutton,,Carshalton Central,E05000558,-0.16582070727709625,527672.000122197,51.36577568061749,164620.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,www.feenstra.co.uk/boomboom,The Boom Boom Club,0,E09000029,Sutton United Football Club The Borough Sports Ground,Gander Green Ln,Sutton,Sutton West,E05000567,-0.20279414144266522,525095.000122197,51.36708628644587,164702.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,www.railwaytaverncarshalton.co.uk,The Railway Tavern,5870062829,E09000029,47 North Street,Sutton,,The Wrythe,E05000568,-0.16427951461237883,527771.000122197,51.36874644754404,164953.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
Sutton,,The Red Lion,5870110898,E09000029,Hackbridge Road Sutton,,,Wandle Valley,E05000571,-0.15604080022404015,528319.000122197,51.377826618247745,165977.00012159348,Sutton,Music venues (all),E09000029,11/27/2022
,www.thesoundlounge.org.uk,The Sound Lounge,,,216-220 High Street,,,,,-0.1926506700931572,525803.8969182,51.36602486975543,164601.3355139941,Sutton,Music venues (grassroots),E09000029,11/27/2022
Sutton,,Plough,,E09000029,Croydon Road,Croydon,Beddington,Beddington North,E05000555,-0.1302962692819899,530142.0001221001,51.36667999766016,164783.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Harvest Home,,E09000029,27 Beddington Lane,Croydon,,Beddington North,E05000555,-0.13012834325333733,530140.0001221001,51.37150696661924,165320.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Centrals Bar & Lounge,,E09000029,169 Central Road,Worcester Park,,Nonsuch,E05000561,-0.24247435871204043,522301.0001221001,51.379182231205476,165980.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Brook,,E09000029,181 Central Road,Worcester Park,,Nonsuch,E05000561,-0.24247435871204043,522301.0001221001,51.379182231205476,165980.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Rumours,,E09000029,25-27 Central Road,Worcester Park,,Nonsuch,E05000561,-0.2375169231483747,522653.0001221001,51.37654456752291,165695.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,North End Tavern,,E09000029,245 Cheam Common Road,Worcester Park,,Nonsuch,E05000561,-0.23516216009264299,522819.0001221001,51.37574465702861,165610.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,H G Wells,,E09000029,101 Cheam Common Road,Worcester Park,,Worcester Park,E05000572,-0.23104143465830382,523114.0001221001,51.37266963386976,165275.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Slug & Lettuce,,E09000029,33 High Street,Sutton,,Sutton Central,E05000564,-0.19068307226660625,525957.0001221001,51.36013657735916,163950.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,O'Neill's,,E09000029,37 High Street,Sutton,,Sutton Central,E05000564,-0.19068307226660625,525957.0001221001,51.36013657735916,163950.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,EBB & Flow Cafe Bar,,E09000029,59-61 High Street,Sutton,,Sutton Central,E05000564,-0.19092043337925366,525938.0001221001,51.36103961420864,164050.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Shinner & Sudtone,,E09000029,67 High Street,Sutton,,Sutton Central,E05000564,-0.19092043337925366,525938.0001221001,51.36103961420864,164050.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Moon on the Hill,,E09000029,5-9 Hill Road,Sutton,,Sutton Central,E05000564,-0.19159026272067933,525891.0001221001,51.361175869716064,164064.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,All Bar One,,E09000029,2 Hill Road,Sutton,,Sutton Central,E05000564,-0.19159026272067933,525891.0001221001,51.361175869716064,164064.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Sutton Arms,,E09000029,60-62 High Street,Sutton,,Sutton Central,E05000564,-0.1904489585288464,525970.0001221001,51.36133811725519,164084.00012210011,Sutton,Pubs,E09000029,11/27/2022
Sutton,,Cock & Bull,,E09000029,26-30 High Street,Sutton,,Sutton Central,E05000564,-0.19014265531523342,525994.0001221001,51.360362064538236,163976.00012210011,Sutton,Pubs,E09000029,11/27/2022
