borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Tower Hamlets,https://reuters.screenocean.com/,Reuters Archive,6155377,E09000030,Thomson Reuters ,30 South Colonnade ,Canary Wharf,Canary Wharf,E05009323,-0.02042941634000876,537262.9940289147,51.50435142387477,180345.1172220353,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.whitechapelgallery.org/,Whitechapel Art Gallery,6000113,E09000030,Whitechapel High Street,,,Spitalfields & Banglatown,E05009333,-0.07046539427452132,533756.7859300042,51.51614773634685,181563.90270945407,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,http://www.lasa.org.uk/,Lasa,6002410,E09000030,Watson House,54 Baker Street,,Spitalfields & Banglatown,E05009333,-0.07095881088810949,533719.795680392,51.51709110088313,181667.88266224286,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.wiltons.org.uk/,Wilton's Music Hall,6006845,E09000030,Graces Alley,,,Whitechapel,E05009336,-0.06693794829680935,534017.7196860514,51.51061305202626,180955.02048521588,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,http://www.thamespolicemuseum.org.uk/museum.html,Wapping Police Station Museum,6009795,E09000030,98 Wapping High Street,,,St. Katharine's & Wapping,E05009330,-0.05859646461708383,534618.5730745904,51.50309221162473,180134.1865228099,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.eastlondonmosque.org.uk/content/east-london-mosque-london-muslim-centre-archive-collections,East London Mosque & London Muslim Centre Archive,6012773,E09000030,4th Floor ,46-92 Whitechapel Road,,Whitechapel,E05009336,-0.06555204716384937,534093.7182060155,51.517469606759,181719.85801736254,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.towerhamlets.gov.uk/lgnl/leisure_and_culture/local_history/local_history__archives/local_history__archives.aspx,Tower Hamlets Local History Library and Archives,6033654,E09000030,277 Bancroft Road,,,Bethnal Green,E05009317,-0.04234719927184271,535684.3965121747,51.52381997417608,182468.6746994864,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.vam.ac.uk/moc/,V & A Museum of Childhood,6039165,E09000030,Cambridge Heath Road,,,Bethnal Green,E05009317,-0.054881955224156294,534799.5986232918,51.5290553112319,183027.53264830814,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,http://www.unfinishedhistories.com/,Unfinished Histories,6040154,E09000030,St Margaret's House Settlement ,21 Old Ford Rd,,St. Peter's,E05009331,-0.054495932258682246,534823.5959477813,51.52999311599149,183132.50537940045,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.mattsgallery.org/,Matt's Gallery,6048178,E09000030,42-44 Copperfield Road,,,Mile End,E05009327,-0.03580471959488261,536152.281754385,51.51907944206983,181953.80795744434,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.fusiliermuseumlondon.org/home,Royal Fusiliers Museum,6086845,E09000030,HM Tower of London,,,St. Katharine's & Wapping,E05009330,-0.07518856296198446,533451.8331759879,51.508392763597215,180693.09502167662,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.onebodyonefaith.org.uk/about-us/new-era-new-name/,Lesbian and Gay Christian Movement,6089004,E09000030,Oxford House ,Derbyshire Street,,St. Peter's,E05009331,-0.06148404706213619,534349.6853817301,51.526368052162184,182716.6300953008,Tower Hamlets,Archives,E09000030,11/27/2022
Tower Hamlets,https://www.hsbc.com/about-hsbc/company-history/hsbc-archives,HSBC Group Archives,6151241,E09000030,HSBC Holdings plc 8 Canada Square,,,Canary Wharf,E05009323,-0.01739533577265108,537469.9512627431,51.505532188734534,180482.09217156842,Tower Hamlets,Archives,E09000030,11/27/2022
