borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Waltham Forest,https://walthamforest.gov.uk/content/waltham-forest-archives-and-local-studies-library,Waltham Forest Archives,100023000000,E09000031,Vestry House Museum ,Vestry Road ,Walthamstow,Hoe Street,E05000601,-0.012739357747511096,537555.8686841052,51.584013714671514,189216.24746242235,Waltham Forest,Archives,E09000031,11/27/2022
Waltham Forest,https://www.wmgallery.org.uk/,William Morris Gallery,200001000000,E09000031,Water House ,Lloyd Park ,Forest Road,William Morris,E05000608,-0.020376610801968793,537004.9223526159,51.591300707825056,190012.01904253685,Waltham Forest,Archives,E09000031,11/27/2022
Waltham Forest,www.arbeit.org.uk / www.arebyte.com,Lea Bridge Road,200000000000,E09000031,Enterprise Park Unit OH ,Lea Bridge Road,,Lea Bridge,E05000603,-0.034766339929481596,536077.241385016,51.56829693565187,187427.63600444584,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,https://mainyardstudios.co.uk,,10024421362,E09000031,5 Argall Ave,,,Lea Bridge,E05000603,-0.03848244388592304,535813.2626266525,51.57047232938429,187662.5715181728,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,http://mentmorestudios.co.uk/made/,Mentmore Studios,100000000000,E09000031,11 Argall Avenue,,,Lea Bridge,E05000603,-0.039244045575250235,535760.2689831457,51.5705479944233,187669.56691692403,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,www.artcoreint.net,Unit 1,200000000000,E09000031,"Unit 1, 8 Argall Rd",,,Lea Bridge,E05000603,-0.037179376677985036,535901.246572074,51.571241914205956,187750.55852225487,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,www.woodstreetwalls.co.uk,,10093559731,E09000031,Wood Street Studios,Barrett Road,,Wood Street,E05000609,-0.0035075163075874265,538191.6943773546,51.58518777967393,189364.18699038617,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,http://stolen-image.com/mitre.html,Mitre Studios,200000000000,E09000031,4a Mitre Avenue,,,William Morris,E05000608,-0.021282421148903063,536951.9588785173,51.58806077623938,189650.12365874782,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,http://www.citystudios-e17.com/home,,200000000000,E09000031,30a Borwick Rd,,,William Morris,E05000608,-0.02852049719589191,536449.0356426546,51.58860520753323,189697.1019622048,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,http://www.artworksproject.com/docs/info.html,Blackhorse Lane Studios,10091183452,E09000031,114 blackhorse lane,,,Higham Hill,E05000600,-0.03940136558597041,535687.1281757742,51.59139520232052,189987.00208975404,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,www.blackhorseworkshop.co.uk,,10091186505,E09000031,1-2 Sutherland Rd Path,,,Higham Hill,E05000600,-0.03873795533581777,535731.1174876682,51.59204954970654,190060.98220299877,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,https://www.walthamforest.gov.uk/content/lloyd-park,Lloyd Park Artist Studios,10009143619,E09000031,Lloyd Park,Walthamstow,,Chapel End,E05000592,-0.022032232625402427,536883.9244415613,51.59340583220669,190242.94973458635,Waltham Forest,Artists workspaces,E09000031,11/27/2022
Waltham Forest,,Empire Walthamstow,200001433603,E09000031,,267 High St,Walthamstow,High Street,E05000599,-0.01856400456450555,537263.0001221001,51.58450643560708,189207.00012210011,Waltham Forest,Cinemas,E09000031,11/27/2022
Waltham Forest,http://www.thestonespace.com/#,The Stone Space,100023583897,E09000031,6 Church Lane,NA,NA,Leytonstone,E05000605,0.012208448950943198,539446.0001221001,51.56769524439457,187396.00012210011,Waltham Forest,Commercial galleries,E09000031,11/27/2022
Waltham Forest,,Seddon Centre,100022955204,E09000031,33 Clyde Place,Waltham Forest,NA,Leyton,E05000604,-0.013286036262054225,537673.0001221001,51.56981155655056,187583.00012210011,Waltham Forest,Community centres,E09000031,11/27/2022
Waltham Forest,,Forest Community Centre,100022980920,E09000031,56 Guildford Road, Waltham Forest,NA,Hale End and Highams Park,E05000597,-0.00044526853476756906,538471.0001221001,51.599973858345386,190961.00012210011,Waltham Forest,Community centres,E09000031,11/27/2022
Waltham Forest,https://www.crazy4kids.co.uk/,Frederic Street Community Centre,200001418871,E09000031,5 Frederic Street, Waltham Forest,NA,Markhouse,E05000606,-0.03238296817667003,536320.0001221001,51.5797565354447,188653.00012210011,Waltham Forest,Community centres,E09000031,11/27/2022
Waltham Forest,https://www.hallshire.com/halls/view/3691/mornington-hall,"Mornington Hall, The Green",200001430409,E09000031,The Green, Waltham Forest,NA,Chingford Green,E05000593,0.002718686931227987,538595.0001221001,51.63117260626217,194436.00012210011,Waltham Forest,Community centres,E09000031,11/27/2022
Waltham Forest,,Nexus Community Centre,200001439267,E09000031,3 Snowberry Close, Waltham Forest,NA,Cathall,E05000591,0.004676539668752587,538970.0001221001,51.55263389596523,185707.00012210011,Waltham Forest,Community centres,E09000031,11/27/2022
