borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Wandsworth,https://www.roehampton.ac.uk/student-support/library/,University of Roehampton: Archives and Special Collections,121001383,E09000032,Library and Learning Services ,Roehampton Lane,,Roehampton and Putney Heath,E05000621,-0.24493255803328673,521811.4431158456,51.45736039206113,174723.07381469867,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,http://www.demorgan.org.uk/,De Morgan Centre,121007255,E09000032,West Hill Library ,38 West Hill,,Fairfield,E05000614,-0.20047677707861292,524899.7623862167,51.457136412514494,174773.1547614843,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,https://www.bac.org.uk/content/39415/to_archive/wandsworth_museum/wandsworth_museum,Wandsworth Museum,121007255,E09000032,38 West Hill ,Wandsworth,,Fairfield,E05000614,-0.20047677707861292,524899.7623862167,51.457136412514494,174773.1547614843,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,https://www.booktrust.org.uk/,Book Trust,121011471,E09000032,Book House ,45 East Hill,,Fairfield,E05000614,-0.18404813342386006,526038.5385549795,51.45797137291403,174894.17644532432,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,https://www.shaftesburyyoungpeople.org/,Shaftesbury Young People,121030969,E09000032,The Chapel Royal Victoria Patriotic Building ,John Archer Way,,Wandsworth Common,E05000627,-0.1739054902960151,526755.4063781191,51.453497378206194,174414.28669997334,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,https://www.roehampton.ac.uk/colleges/southlands-college/history/,University of Roehampton: Southlands College Archives,121048702,E09000032,80 Roehampton Lane,,,Roehampton and Putney Heath,E05000621,-0.24447442145640833,521837.4298025862,51.4595477546907,174967.03044215433,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29686,"Queen Mary's Hospital, Roehampton",121052762,E09000032,Health Service Library Roehampton,,,West Putney,E05000629,-0.241705796543644,522040.39663542993,51.455549492911125,174527.11495148338,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,https://www.better.org.uk/library/london/wandsworth/wandsworth-heritage-service,Wandsworth Heritage Service,100023000000,E09000032,Battersea Library 1st floor,265 Lavender Hill,,Shaftesbury,E05000623,-0.1641418167496044,527404.2358767176,51.46402830036944,175602.074088532,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,https://www.royalacademyofdance.org/more/library,Royal Academy of Dance: Philip Richardson Library,100023000000,E09000032,36 Battersea Square,,,St. Mary's Park,E05000622,-0.1750766696699713,526616.3535475931,51.47430670707554,176725.8271496073,Wandsworth,Archives,E09000032,11/27/2022
Wandsworth,http://www.franco-british-society.org/,Franco-British Society,100023000000,E09000032,2 Dovedale Studios ,465 Battersea Park Road,,Latchmere,E05000617,-0.16337990286176363,527434.1872046673,51.472253629745154,176517.8821720275,Wandsworth,Archives,E09000032,11/27/2022
