borough_name,website,site_name,os_addressbase_uprn,borough_code,address1,address2,address3,ward_2018_name,ward_2018_code,longitude,easting,latitude,northing,BOROUGH,Cultural Venue Type,gss_code,runtime
Camden,https://www.magistrates-association.org.uk/,Magistrates Association,5008666,E09000007,28 Fitzroy Square,,,Bloomsbury,E05000129,-0.14069786058328965,528866.865174503,51.522596994045905,182154.80073430698,Westminster,Archives,E09000033,11/27/2022
Camden,https://www.rcplondon.ac.uk/,Royal College of Physicians of London,5069347,E09000007,11 St Andrews Place ,Regent's Park,,Regent's Park,E05000142,-0.1449807462546322,528560.9381721606,51.52574929105327,182497.73264802276,Westminster,Archives,E09000033,11/27/2022
Camden,https://www.bfi.org.uk/archive-collections,British Film Institute (BFI) National Archive,5158427,E09000007,21 Stephen Street,,,Bloomsbury,E05000129,-0.1329204412182469,529419.7353438733,51.51785121106951,181640.90295711695,Westminster,Archives,E09000033,11/27/2022
City and County of th,https://www.hoaresbank.co.uk/,C Hoare & Co,95513039,E09000001,37 Fleet Street,,,Farringdon Without,E05009305,-0.10963230037739627,531046.7665757545,51.51377692710297,181229.41392122646,Westminster,Archives,E09000033,11/27/2022
Kensington and Chelse,NA,Brompton Oratory,217007711,E09000020,Brompton Road,,,Brompton & Hans Town,E05009389,-0.16981521843262157,526917.2432137782,51.497470717636766,179310.3133062725,Westminster,Archives,E09000033,11/27/2022
Lambeth,http://www.wyndhamashworth.org/,The Wyndham Ashworth Archive,10008789585,E09000022,2 Salamanca Place ,Albert Embankment,,Prince's,E05000427,-0.12055552226890828,530352.4842315296,51.49154783169798,178738.46043876302,Westminster,Archives,E09000033,11/27/2022
City of Westminster,http://www.rigb.org/,Royal Institution of Great Britain,10033528771,E09000033,21 Albemarle Street,,,West End,E05000649,-0.14255343975986448,528773.8610529297,51.50994667671712,180745.06341481634,Westminster,Archives,E09000033,11/27/2022
City of Westminster,https://www.imeche.org/libraries-archive/archive-and-artefacts,Institution of Mechanical Engineers Archive,10033530502,E09000033,1 Bird Cage Walk,,,St. James's,E05000644,-0.12995592335866013,529672.6457118073,51.50120341567322,179795.25177571864,Westminster,Archives,E09000033,11/27/2022
City of Westminster,https://www.girlguiding.org.uk/,Girlguiding UK,10033531078,E09000033,17-19 Buckingham Palace Road,,,St. James's,E05000644,-0.14300859113554085,528773.8388837576,51.49875795593412,179500.2973235809,Westminster,Archives,E09000033,11/27/2022
City of Westminster,,The Theatres Trust Resource Centre,10033531816,E09000033,22 Charing Cross Road,,,St. James's,E05000644,-0.12820152031052046,529767.6441149743,51.51060880602381,180844.05603640497,Westminster,Archives,E09000033,11/27/2022
