Area,Year,Measure,Value
Barking and Dagenham,2017,Median,"300,000"
Barnet,2017,Median,"533,500"
Bexley,2017,Median,"342,500"
Brent,2017,Median,"499,950"
Bromley,2017,Median,"440,000"
Camden,2017,Median,"760,000"
Croydon,2017,Median,"365,000"
Ealing,2017,Median,"485,000"
Enfield,2017,Median,"402,500"
Greenwich,2017,Median,"420,000"
Hackney,2017,Median,"530,000"
Hammersmith and Fulham,2017,Median,"777,475"
Haringey,2017,Median,"540,000"
Harrow,2017,Median,"500,000"
Havering,2017,Median,"350,000"
Hillingdon,2017,Median,"415,000"
Hounslow,2017,Median,"395,000"
Islington,2017,Median,"615,000"
Kensington and Chelsea,2017,Median,"1,315,000"
Kingston upon Thames,2017,Median,"487,250"
Lambeth,2017,Median,"518,110"
Lewisham,2017,Median,"430,000"
Merton,2017,Median,"470,000"
Newham,2017,Median,"390,500"
Redbridge,2017,Median,"420,000"
Richmond upon Thames,2017,Median,"650,000"
Southwark,2017,Median,"530,000"
Sutton,2017,Median,"367,000"
Tower Hamlets,2017,Median,"490,000"
Waltham Forest,2017,Median,"445,000"
Wandsworth,2017,Median,"654,000"
Westminster,2017,Median,"1,025,000"
